Word_Frequency,Link_Count,Capital_Ratio,Exclamation_Count,Email_Length,Attachment_Count,Unknown_Sender,Email_Type
28,4,0.928,6,923,0,0,Not Spam
7,9,0.53,11,801,4,0,Not Spam
73,8,0.354,9,231,2,0,Not Spam
72,19,0.797,4,235,0,0,Not Spam
12,6,0.443,14,289,2,0,Spam
34,1,0.318,11,495,2,1,Not Spam
33,6,0.723,15,547,0,1,Spam
48,7,0.802,9,947,0,1,Not Spam
23,6,0.792,14,83,3,1,Spam
62,20,0.978,5,770,5,1,Spam
88,13,0.787,0,479,4,0,Spam
37,18,0.77,3,35,4,0,Spam
99,4,0.857,3,583,2,1,Spam
44,17,0.0,10,38,1,1,Not Spam
86,19,0.362,7,344,1,1,Spam
91,11,0.738,14,927,5,0,Spam
35,16,0.6,1,112,2,0,Not Spam
65,12,0.178,0,792,3,0,Not Spam
99,1,0.304,6,829,0,0,Not Spam
47,12,0.337,5,36,2,0,Not Spam
78,6,0.568,4,642,4,0,Not Spam
3,9,0.832,11,859,1,0,Not Spam
1,5,0.932,12,891,1,1,Not Spam
5,2,0.75,12,507,1,1,Not Spam
90,2,0.843,12,113,3,0,Not Spam
14,17,0.47,7,29,4,1,Spam
27,10,0.39,10,743,3,0,Not Spam
9,19,0.393,14,768,0,1,Not Spam
79,4,0.616,12,785,2,0,Spam
15,18,0.124,1,547,2,0,Not Spam
90,18,0.579,1,508,1,1,Spam
42,14,0.665,8,163,1,0,Not Spam
77,15,0.439,0,573,0,1,Not Spam
51,8,0.953,5,534,3,0,Spam
63,3,0.608,12,938,5,1,Spam
96,14,0.22,12,489,5,0,Spam
52,11,0.479,2,396,5,1,Spam
96,2,0.675,14,687,4,0,Spam
4,13,0.324,12,513,0,1,Not Spam
94,16,0.08,4,704,2,1,Spam
23,18,0.583,7,503,2,1,Spam
15,5,0.948,6,471,3,1,Spam
43,3,0.485,12,555,0,0,Spam
29,6,0.906,11,806,4,1,Not Spam
36,18,0.835,3,94,0,0,Not Spam
13,16,0.147,7,59,0,0,Not Spam
32,15,0.708,15,321,3,0,Spam
71,14,0.435,10,571,4,0,Spam
59,7,0.25,15,81,5,0,Spam
86,18,0.687,10,769,2,0,Spam
28,7,0.743,15,522,1,0,Not Spam
66,17,0.18,15,264,5,0,Not Spam
42,15,0.914,9,37,4,1,Spam
45,19,0.751,10,671,2,1,Spam
62,18,0.933,13,417,5,0,Spam
57,9,0.317,1,613,3,1,Not Spam
6,16,0.939,15,208,4,1,Spam
28,12,0.369,6,639,4,0,Not Spam
28,12,0.054,4,765,2,1,Not Spam
44,6,0.763,15,799,2,1,Spam
84,9,0.704,10,123,0,1,Spam
30,1,0.598,5,942,0,0,Not Spam
62,3,0.49,2,665,4,0,Not Spam
75,5,0.032,15,363,1,1,Spam
92,17,0.625,10,390,3,0,Spam
89,5,0.417,9,52,2,0,Not Spam
62,16,0.56,6,768,0,1,Spam
97,13,0.429,6,393,3,1,Spam
1,10,0.966,1,867,5,1,Spam
27,18,0.604,15,197,5,1,Spam
62,1,0.749,0,31,4,0,Not Spam
77,2,0.936,9,882,2,0,Spam
3,10,0.592,1,972,5,0,Not Spam
70,5,0.012,11,760,2,0,Spam
72,13,0.034,7,840,0,0,Not Spam
27,18,0.702,10,800,5,0,Spam
9,15,0.279,9,909,1,0,Not Spam
62,20,0.579,2,475,5,0,Spam
37,6,0.202,10,889,2,0,Not Spam
97,7,0.27,3,662,1,1,Not Spam
51,18,0.505,7,268,3,0,Spam
44,19,0.976,2,467,5,0,Spam
24,15,0.616,5,999,2,0,Not Spam
79,6,0.936,1,589,5,1,Spam
59,8,0.959,2,23,5,1,Spam
32,12,0.208,0,255,2,0,Not Spam
96,0,0.311,8,192,1,0,Spam
88,7,0.77,3,341,0,1,Not Spam
52,3,0.867,5,390,5,0,Not Spam
62,2,0.519,14,567,4,1,Not Spam
58,2,0.993,6,810,3,0,Spam
52,12,0.012,1,768,2,1,Spam
12,7,0.3,7,806,5,1,Spam
39,6,0.623,11,315,0,0,Not Spam
2,0,0.469,8,859,2,1,Not Spam
3,15,0.117,13,419,5,1,Spam
56,5,0.368,9,77,3,1,Spam
81,6,0.025,10,894,4,0,Not Spam
59,11,0.643,1,549,2,0,Not Spam
2,8,0.893,4,567,5,1,Not Spam
2,10,0.885,1,427,1,1,Not Spam
92,9,0.7,10,660,0,0,Spam
54,20,0.466,4,532,4,0,Spam
87,0,0.512,6,83,2,0,Not Spam
96,17,0.137,5,593,5,1,Spam
97,3,0.341,3,897,4,0,Not Spam
1,4,0.188,13,439,1,0,Not Spam
19,8,0.821,1,862,2,0,Not Spam
2,16,0.915,6,165,4,0,Not Spam
53,2,0.537,11,291,2,1,Spam
44,15,0.728,9,36,2,1,Not Spam
90,4,0.121,8,811,4,0,Not Spam
32,15,0.609,0,117,2,1,Not Spam
70,2,0.703,2,471,1,0,Not Spam
32,19,0.453,6,758,4,1,Spam
68,14,0.243,15,994,5,0,Spam
55,2,0.877,14,917,4,0,Spam
75,19,0.743,15,262,1,1,Spam
56,13,0.9,13,498,1,0,Spam
17,15,0.818,8,220,1,0,Not Spam
38,16,0.99,12,925,5,1,Spam
24,19,0.192,4,968,5,0,Not Spam
69,17,0.087,6,492,2,1,Spam
98,17,0.337,14,198,2,0,Spam
70,13,0.129,9,527,3,0,Spam
86,17,0.523,6,472,2,1,Spam
11,14,0.633,3,289,1,1,Spam
16,14,0.578,4,253,3,0,Not Spam
97,5,0.259,1,643,1,0,Not Spam
73,14,0.909,7,505,0,1,Spam
59,17,0.021,11,597,5,1,Spam
70,3,0.348,14,357,4,0,Spam
80,7,0.719,14,880,0,0,Spam
93,14,0.767,0,968,5,0,Spam
3,2,0.416,1,776,5,1,Not Spam
20,14,0.017,11,776,1,0,Not Spam
59,12,0.618,2,999,2,1,Spam
36,8,0.063,6,467,4,0,Not Spam
19,1,0.108,5,603,2,1,Not Spam
90,7,0.65,13,376,2,0,Spam
67,19,0.312,6,68,4,1,Spam
19,16,0.348,10,515,4,1,Spam
20,12,0.487,4,365,0,0,Not Spam
96,0,0.979,13,721,1,1,Spam
71,1,0.965,3,312,2,1,Spam
52,14,0.416,14,708,1,1,Spam
33,11,0.265,14,983,1,0,Spam
40,13,0.303,6,692,3,0,Not Spam
39,1,0.269,2,169,0,0,Not Spam
82,17,0.532,12,601,2,0,Not Spam
1,6,0.607,9,564,5,1,Spam
11,5,0.489,6,815,4,1,Not Spam
92,13,0.408,1,875,4,0,Spam
57,7,0.211,11,279,1,1,Not Spam
89,1,0.483,11,341,0,1,Spam
50,16,0.341,7,96,0,0,Not Spam
23,4,0.542,11,129,2,0,Not Spam
31,13,0.675,5,836,2,1,Not Spam
94,19,0.633,11,915,1,0,Spam
42,20,0.462,15,670,1,1,Spam
99,20,0.556,14,566,1,1,Spam
7,2,0.285,2,442,3,0,Not Spam
16,4,0.024,2,413,0,0,Not Spam
90,15,0.625,4,254,1,1,Spam
60,17,0.253,2,349,0,0,Not Spam
2,16,0.669,15,731,5,1,Spam
1,10,0.747,5,344,4,1,Not Spam
48,16,0.916,15,170,4,0,Spam
12,15,0.958,1,565,0,0,Not Spam
69,1,0.011,7,655,5,0,Not Spam
37,3,0.99,12,898,4,0,Spam
32,20,0.683,10,51,4,1,Spam
9,6,0.644,11,291,4,0,Not Spam
99,1,0.015,10,855,2,0,Not Spam
19,5,0.861,8,841,5,0,Spam
48,16,0.145,12,655,2,1,Spam
80,6,0.837,14,943,0,0,Spam
3,4,0.016,6,387,0,0,Not Spam
20,4,0.646,13,511,3,0,Not Spam
24,19,0.435,2,335,2,0,Not Spam
54,15,0.201,10,609,0,0,Not Spam
33,18,0.108,13,607,2,1,Spam
24,8,0.44,15,591,3,1,Spam
75,4,0.123,9,616,0,1,Spam
72,7,0.486,3,387,0,0,Not Spam
36,8,0.625,15,99,0,0,Not Spam
38,4,0.827,11,905,0,1,Spam
84,9,0.679,9,191,1,0,Spam
99,1,0.065,1,277,5,1,Spam
89,8,0.307,8,298,5,0,Spam
99,10,0.288,15,523,2,1,Spam
25,3,0.915,13,752,2,1,Spam
93,1,0.868,4,577,2,0,Not Spam
18,5,0.37,11,510,3,0,Not Spam
82,13,0.071,1,604,1,0,Not Spam
66,0,0.894,9,585,2,0,Not Spam
54,17,0.888,5,858,2,0,Spam
35,6,0.855,6,752,0,1,Spam
80,0,0.845,12,912,0,0,Spam
61,0,0.48,1,356,0,1,Not Spam
41,0,0.177,14,540,2,0,Not Spam
100,3,0.477,0,345,0,1,Not Spam
33,3,0.495,12,191,2,1,Spam
68,17,0.49,6,103,3,1,Spam
33,10,0.539,0,861,3,0,Not Spam
14,0,0.258,2,860,4,1,Not Spam
21,9,0.366,3,543,1,0,Not Spam
48,8,0.434,1,500,0,1,Not Spam
20,3,0.131,6,563,5,0,Not Spam
8,5,0.455,4,437,0,1,Not Spam
7,15,0.81,0,358,1,0,Not Spam
67,1,0.828,11,820,1,0,Not Spam
17,17,0.412,15,339,4,1,Spam
33,9,0.519,11,323,1,1,Spam
48,16,0.034,15,291,2,0,Spam
76,12,0.674,7,709,0,1,Not Spam
59,17,0.405,9,133,1,0,Spam
86,12,0.445,6,426,2,0,Not Spam
22,16,0.874,15,45,1,1,Spam
30,4,0.462,3,256,5,0,Not Spam
38,10,0.021,1,329,2,1,Not Spam
51,6,0.227,14,703,3,0,Not Spam
54,9,0.476,15,252,2,0,Spam
8,16,0.424,6,568,4,0,Not Spam
27,14,0.86,10,284,2,0,Not Spam
27,17,0.542,1,32,1,1,Not Spam
98,18,0.69,5,515,3,0,Spam
21,1,0.469,15,335,3,1,Not Spam
30,3,0.44,0,637,2,0,Not Spam
97,2,0.446,13,657,1,0,Spam
28,6,0.411,6,867,3,1,Spam
64,17,0.539,6,403,5,0,Spam
97,9,0.25,11,661,2,0,Not Spam
69,6,0.891,3,335,2,1,Spam
61,7,0.333,3,275,2,0,Not Spam
48,5,0.148,14,460,3,0,Not Spam
19,0,0.097,9,134,0,0,Not Spam
4,3,0.013,4,318,1,1,Not Spam
35,13,0.423,1,934,4,1,Spam
64,16,0.188,8,143,4,1,Spam
49,19,0.022,9,275,1,1,Spam
17,17,0.52,3,670,0,1,Not Spam
44,10,0.68,10,737,1,1,Spam
92,20,0.086,8,66,2,1,Spam
30,13,0.461,13,748,5,1,Spam
93,8,0.744,2,850,1,0,Not Spam
46,14,0.986,8,922,1,1,Spam
6,11,0.667,0,482,5,0,Not Spam
99,9,0.245,6,369,3,0,Spam
37,18,0.717,3,142,4,0,Not Spam
24,18,0.598,6,50,4,0,Not Spam
93,5,0.212,15,74,2,0,Not Spam
46,19,0.851,13,172,5,1,Spam
53,5,0.427,9,475,2,1,Not Spam
95,7,0.962,14,305,3,0,Spam
99,0,0.723,15,55,2,1,Not Spam
60,16,0.645,5,837,5,1,Spam
97,16,0.728,3,929,5,1,Spam
63,14,0.478,3,816,0,1,Not Spam
85,6,0.505,7,942,3,1,Spam
32,18,0.851,6,904,5,0,Spam
87,2,0.681,3,275,5,0,Spam
33,10,0.897,10,197,3,0,Not Spam
67,19,0.891,5,567,1,0,Spam
18,18,0.976,5,273,1,0,Not Spam
25,8,0.7,0,527,0,1,Not Spam
95,9,0.502,12,693,5,1,Spam
54,1,0.166,1,40,3,0,Not Spam
58,0,0.705,15,825,3,0,Spam
67,15,0.292,3,94,1,1,Spam
46,17,0.283,5,738,4,1,Spam
24,16,0.238,5,479,4,0,Not Spam
32,5,0.875,0,197,5,0,Not Spam
47,13,0.868,7,401,1,1,Spam
86,14,0.631,1,56,5,1,Spam
23,13,0.473,12,990,2,0,Not Spam
66,2,0.672,4,139,3,1,Not Spam
27,18,0.607,3,934,5,1,Spam
2,11,0.416,4,649,0,0,Not Spam
90,1,0.38,4,20,4,1,Not Spam
17,2,0.383,14,740,5,0,Not Spam
33,17,0.589,9,955,2,1,Spam
9,0,0.648,7,330,3,0,Not Spam
43,19,0.452,9,227,2,1,Not Spam
48,20,0.969,6,173,5,1,Spam
39,5,0.084,11,781,3,0,Not Spam
93,4,0.347,13,702,3,0,Spam
42,0,0.419,8,334,1,1,Not Spam
26,18,0.017,11,326,1,0,Not Spam
99,0,0.365,10,523,0,0,Not Spam
50,20,0.274,12,638,0,1,Spam
25,20,0.506,14,674,2,1,Spam
24,15,0.336,0,539,1,1,Not Spam
13,11,0.726,5,625,3,0,Not Spam
60,7,0.51,5,929,1,1,Not Spam
7,15,0.13,1,116,3,1,Not Spam
57,0,0.75,10,509,1,0,Not Spam
36,3,0.099,7,26,3,0,Not Spam
45,9,0.839,5,805,2,0,Not Spam
20,10,0.931,10,31,1,1,Not Spam
65,16,0.322,12,533,4,0,Spam
8,6,0.926,9,965,4,1,Spam
16,11,0.793,8,368,3,1,Spam
14,20,0.922,9,936,2,1,Spam
76,6,0.666,4,26,3,1,Not Spam
87,11,0.236,6,519,2,0,Not Spam
15,14,0.895,5,494,0,0,Not Spam
92,1,0.184,10,543,1,0,Spam
98,13,0.213,14,871,2,0,Spam
66,12,0.271,4,76,3,1,Spam
32,3,0.304,5,609,0,0,Not Spam
87,13,0.514,3,605,3,1,Spam
63,13,0.713,15,252,4,0,Spam
86,15,0.926,2,810,4,0,Spam
51,6,0.088,12,49,1,1,Not Spam
25,18,0.954,0,386,5,1,Spam
58,1,0.921,0,845,1,1,Not Spam
63,9,0.054,5,626,0,0,Spam
62,17,0.36,13,839,4,1,Spam
22,16,0.813,8,75,2,0,Not Spam
58,4,0.612,7,29,4,1,Not Spam
58,11,0.779,11,934,5,0,Spam
86,5,0.719,1,166,1,1,Not Spam
49,8,0.497,8,383,3,1,Spam
52,19,0.041,7,618,0,1,Spam
42,0,0.584,15,272,5,1,Spam
70,14,0.049,13,718,4,0,Not Spam
15,20,0.604,13,959,2,0,Spam
54,5,0.8,11,764,5,0,Spam
60,18,0.585,8,272,2,0,Not Spam
97,17,0.997,3,462,2,1,Spam
8,5,0.456,15,755,0,1,Not Spam
53,12,0.749,8,359,2,0,Spam
60,0,0.667,1,535,2,0,Not Spam
5,12,0.991,12,372,4,0,Not Spam
68,6,0.713,0,643,0,0,Not Spam
6,14,0.164,12,724,3,0,Not Spam
96,11,0.956,8,672,3,1,Spam
94,0,0.668,9,342,2,1,Not Spam
47,14,0.059,7,159,5,0,Spam
99,3,0.658,6,880,1,0,Spam
55,12,0.883,13,970,0,1,Spam
40,4,0.577,12,464,1,0,Not Spam
52,1,0.354,7,114,0,0,Not Spam
16,0,0.821,11,572,0,1,Not Spam
13,15,0.783,0,439,4,1,Not Spam
30,5,0.544,13,533,2,1,Spam
19,15,0.154,8,809,4,0,Spam
17,13,0.251,11,169,5,0,Not Spam
63,2,0.738,15,572,1,1,Spam
19,14,0.806,9,370,1,0,Not Spam
92,2,0.279,10,135,3,0,Not Spam
58,1,0.368,8,651,5,0,Not Spam
55,0,0.078,14,256,5,0,Not Spam
90,8,0.713,11,289,4,0,Not Spam
90,8,0.004,10,880,4,1,Spam
62,6,0.047,8,310,5,0,Not Spam
23,2,0.004,12,453,4,1,Not Spam
9,17,0.645,15,28,3,1,Spam
12,10,0.417,13,770,4,0,Not Spam
1,6,0.298,5,649,4,1,Not Spam
58,8,0.913,3,883,5,1,Spam
1,0,0.193,12,846,5,0,Not Spam
34,13,0.389,1,843,4,1,Not Spam
96,19,0.94,10,494,4,0,Spam
48,5,0.427,3,541,5,0,Not Spam
89,6,0.555,6,556,1,1,Spam
1,9,0.08,0,704,2,0,Not Spam
16,6,0.79,13,756,1,1,Not Spam
61,1,0.423,8,30,4,1,Spam
64,3,0.801,2,632,0,0,Not Spam
63,20,0.254,12,796,0,0,Spam
69,16,0.422,12,922,3,0,Spam
22,0,0.787,3,346,1,0,Not Spam
93,9,0.974,11,949,5,0,Spam
67,18,0.06,4,614,3,0,Not Spam
76,14,0.812,11,295,3,0,Not Spam
26,9,0.301,12,389,0,0,Not Spam
16,18,0.551,2,509,1,0,Not Spam
51,11,0.29,3,364,2,0,Not Spam
86,15,0.613,4,792,5,1,Spam
57,8,0.354,11,387,1,1,Spam
29,14,0.334,0,752,3,0,Not Spam
78,16,0.038,15,330,4,0,Spam
92,13,0.147,13,750,3,0,Spam
69,17,0.917,8,620,1,0,Spam
47,1,0.998,9,504,0,0,Not Spam
94,3,0.781,12,34,1,1,Spam
62,17,0.287,9,777,2,0,Spam
69,6,0.402,12,707,5,0,Spam
76,12,0.74,15,23,5,1,Spam
16,14,0.969,13,865,4,0,Spam
90,0,0.455,3,395,4,0,Not Spam
90,10,0.83,12,388,3,1,Spam
48,9,0.975,15,484,1,0,Not Spam
85,4,0.873,8,552,5,0,Not Spam
39,15,0.227,3,739,0,1,Not Spam
100,10,0.008,13,156,2,0,Spam
33,20,0.492,0,853,3,1,Not Spam
94,5,0.531,11,382,1,0,Spam
23,8,0.201,4,994,0,1,Not Spam
10,12,0.285,12,950,1,1,Spam
69,7,0.765,8,235,0,0,Spam
100,13,0.47,2,387,1,1,Spam
34,0,0.317,4,136,1,1,Not Spam
52,16,0.623,15,198,5,0,Spam
95,4,0.653,2,265,3,1,Not Spam
10,1,0.769,11,147,1,1,Spam
19,8,0.157,2,377,1,0,Not Spam
58,3,0.742,0,97,3,1,Not Spam
96,16,0.599,1,760,3,0,Spam
1,16,0.058,1,312,4,1,Not Spam
69,20,0.777,8,793,4,1,Spam
4,17,0.383,6,101,5,1,Spam
16,15,0.33,7,361,3,1,Spam
24,7,0.448,1,357,2,0,Not Spam
80,10,0.346,8,838,5,1,Spam
2,20,0.338,12,597,0,0,Not Spam
92,20,0.808,2,115,3,0,Spam
32,17,0.125,9,164,4,1,Spam
91,9,0.971,12,596,1,0,Spam
84,12,0.555,1,540,3,1,Spam
24,16,0.183,11,416,3,0,Spam
12,17,0.131,0,376,4,1,Not Spam
50,9,0.592,8,205,4,0,Spam
35,15,0.633,7,689,2,0,Not Spam
33,19,0.053,12,562,5,1,Spam
33,4,0.243,14,170,4,1,Not Spam
61,12,0.795,11,338,4,0,Spam
51,17,0.05,10,773,4,0,Not Spam
43,16,0.855,15,687,5,0,Spam
12,8,0.658,3,78,1,0,Not Spam
67,13,0.434,6,29,3,0,Not Spam
65,16,0.346,11,876,3,0,Not Spam
33,3,0.019,13,143,4,1,Spam
40,17,0.825,2,375,5,1,Spam
74,19,0.143,15,365,2,1,Spam
43,14,0.31,2,813,4,0,Not Spam
44,10,0.569,3,256,5,0,Not Spam
29,11,0.246,15,352,5,1,Spam
13,8,0.497,1,36,2,1,Not Spam
12,12,0.809,13,443,5,1,Spam
95,14,0.471,9,343,3,1,Spam
46,14,0.949,3,42,2,1,Not Spam
2,4,0.848,9,950,2,1,Not Spam
35,18,0.333,2,478,0,1,Spam
87,19,0.4,7,479,2,1,Spam
81,13,0.423,10,540,2,0,Spam
90,16,0.626,1,738,1,1,Spam
8,17,0.287,15,576,3,1,Spam
93,20,0.969,10,440,4,1,Spam
26,2,0.609,8,984,0,0,Not Spam
74,1,0.399,2,422,2,1,Not Spam
90,0,0.645,3,350,1,0,Not Spam
34,9,0.395,12,476,1,0,Not Spam
7,18,0.818,9,502,5,0,Not Spam
68,16,0.568,13,517,4,0,Spam
58,11,0.042,14,46,4,0,Not Spam
75,0,0.177,9,416,3,1,Not Spam
29,11,0.865,14,972,5,1,Spam
36,16,0.563,14,207,2,0,Spam
89,2,0.95,2,159,1,0,Not Spam
21,10,0.072,2,540,0,0,Not Spam
36,16,0.295,7,765,3,0,Not Spam
10,2,0.194,7,111,2,0,Not Spam
73,7,0.554,12,96,5,1,Spam
24,19,0.383,12,871,4,0,Spam
64,3,0.157,5,263,5,0,Not Spam
99,20,0.643,3,864,2,0,Spam
49,6,0.536,0,686,5,1,Not Spam
99,13,0.275,3,749,4,1,Spam
36,13,0.48,7,978,2,1,Not Spam
82,3,0.746,5,816,0,0,Not Spam
96,15,0.205,1,681,3,0,Spam
24,0,0.293,2,860,5,1,Not Spam
23,16,0.346,11,107,4,1,Spam
62,9,0.747,6,637,0,1,Spam
96,15,0.847,10,934,1,0,Spam
37,15,0.376,10,313,0,0,Not Spam
12,7,0.297,3,114,0,1,Not Spam
55,6,0.889,3,272,0,1,Not Spam
13,5,0.999,14,570,4,0,Not Spam
23,15,0.67,15,418,1,1,Spam
89,19,0.99,14,786,3,0,Spam
99,15,0.66,4,73,0,1,Spam
30,6,0.733,7,947,4,0,Not Spam
17,8,0.389,13,262,4,0,Spam
62,13,0.433,13,129,3,1,Spam
84,10,0.144,6,785,2,0,Spam
89,13,0.823,8,643,1,0,Spam
86,6,0.931,15,705,1,1,Not Spam
13,0,0.623,14,720,5,0,Not Spam
59,12,0.344,4,240,0,1,Not Spam
19,19,0.154,0,780,2,0,Not Spam
49,2,0.265,3,583,1,1,Not Spam
100,19,0.255,5,181,5,0,Spam
12,3,0.614,5,988,0,0,Not Spam
61,10,0.945,8,54,2,1,Spam
19,1,0.048,9,985,4,1,Not Spam
76,13,0.001,12,56,0,0,Spam
9,11,0.6,4,865,2,1,Not Spam
71,16,0.284,4,848,3,1,Spam
28,11,0.881,5,642,1,0,Not Spam
78,11,0.327,10,389,0,1,Spam
95,0,0.29,5,196,5,0,Not Spam
52,12,0.27,2,540,4,1,Spam
83,13,0.145,5,294,5,0,Spam
16,1,0.582,7,652,0,1,Not Spam
69,11,0.168,11,124,1,0,Not Spam
99,20,0.425,5,175,1,0,Spam
12,15,0.461,15,355,2,1,Spam
25,3,0.02,15,45,5,1,Spam
52,7,0.017,11,953,5,0,Not Spam
85,1,0.52,15,315,4,1,Spam
100,9,0.696,10,556,2,0,Spam
53,8,0.942,4,374,4,0,Spam
23,14,0.179,2,905,0,1,Not Spam
16,12,0.103,0,88,0,1,Not Spam
57,16,0.052,4,346,5,1,Spam
39,15,0.436,5,170,2,0,Not Spam
53,1,0.623,13,876,3,1,Spam
42,19,0.841,5,596,1,1,Spam
58,19,0.683,13,681,2,1,Spam
39,13,0.208,5,339,2,0,Not Spam
14,2,0.462,2,776,0,1,Not Spam
95,11,0.91,14,471,1,1,Spam
5,7,0.327,3,589,2,0,Not Spam
35,1,0.499,14,687,0,1,Not Spam
87,3,0.959,2,131,0,0,Not Spam
93,13,0.735,1,654,5,1,Spam
75,15,0.748,7,481,5,0,Spam
18,18,0.252,6,884,2,0,Not Spam
76,1,0.415,10,983,2,0,Spam
9,11,0.082,7,381,0,1,Not Spam
74,13,0.607,12,222,5,1,Spam
58,5,0.104,5,506,2,0,Not Spam
17,12,0.836,10,499,1,1,Not Spam
