Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Debt_to_Income_Ratio,Existing_Loans,Dependents,Loan_Approved
23,43977,655,24,272377,0.32,1,4,No
59,69832,389,23,420235,0.43,2,4,No
21,60931,341,2,16447,0.75,1,4,No
46,103990,664,22,215644,0.6,0,1,Yes
35,98894,501,20,15998,0.43,4,2,No
43,92204,665,17,37801,0.5,4,5,Yes
61,65784,587,15,423087,0.75,4,5,No
51,126305,780,13,294220,0.35,3,1,Yes
27,29921,800,15,115275,0.13,4,1,Yes
53,54959,351,23,98688,0.29,4,1,No
31,52328,402,16,137501,0.36,2,3,No
48,28859,660,19,256006,0.25,2,3,No
32,144492,723,10,15381,0.45,5,3,Yes
25,109506,504,12,269131,0.28,2,1,No
31,94408,313,10,493071,0.13,3,0,No
40,143852,769,27,93191,0.19,5,3,Yes
57,104766,765,28,286410,0.74,5,3,Yes
38,46708,603,3,326197,0.52,4,1,Yes
33,38847,726,28,114273,0.29,3,2,No
62,75989,409,25,82425,0.33,3,0,No
35,112641,814,13,119550,0.42,3,4,Yes
64,145383,367,4,184549,0.55,3,4,No
41,24922,545,3,268691,0.49,3,5,No
43,89928,688,0,185686,0.75,3,0,Yes
42,72335,607,13,60859,0.52,5,1,No
62,146913,651,6,59457,0.73,4,2,Yes
58,33541,365,9,393328,0.05,2,2,No
46,39551,759,26,497033,0.72,5,4,Yes
32,39381,646,1,84086,0.59,1,2,Yes
62,133319,624,9,272318,0.18,1,4,Yes
18,75673,332,2,237942,0.25,1,5,No
42,121531,367,20,156259,0.46,0,3,No
24,42948,486,7,328175,0.14,2,5,No
26,112264,491,9,8938,0.64,4,1,Yes
41,79072,512,7,65833,0.64,3,2,No
18,87560,727,13,399687,0.28,1,1,Yes
61,102249,650,17,62155,0.1,2,3,Yes
25,22486,407,8,152793,0.79,4,0,No
41,86691,539,21,470803,0.24,1,0,Yes
28,30082,515,8,462521,0.1,2,0,No
34,122781,476,29,143516,0.3,5,4,No
25,104105,629,3,98193,0.78,4,4,Yes
52,27086,749,2,499932,0.64,5,0,No
52,147818,746,13,231407,0.41,2,3,Yes
50,87853,836,13,335072,0.28,3,5,Yes
22,121925,478,20,20729,0.37,2,4,Yes
59,90027,694,15,169816,0.06,2,5,Yes
56,35916,444,4,190202,0.59,0,5,No
58,35248,497,19,375885,0.12,3,0,No
45,88047,383,28,100245,0.44,5,1,No
24,44226,384,22,435052,0.47,2,0,No
26,45025,756,23,342575,0.05,3,0,No
25,127850,775,14,22255,0.78,2,1,Yes
29,68380,552,20,336089,0.28,3,5,No
51,27848,371,30,253349,0.11,4,4,No
50,34274,522,8,279888,0.69,1,5,No
40,140092,575,6,203157,0.16,0,1,No
41,74545,545,12,347765,0.07,1,4,No
54,149043,640,28,442683,0.42,2,3,Yes
52,116494,770,22,287989,0.15,2,4,Yes
61,135981,753,7,478488,0.79,4,2,Yes
57,55233,306,11,433605,0.06,2,4,No
39,36304,487,3,269673,0.09,5,2,No
44,133973,303,15,48117,0.67,3,4,No
52,31294,424,25,323458,0.23,5,1,No
18,46425,314,28,118045,0.73,1,4,No
52,88711,824,28,163004,0.28,2,0,Yes
54,126153,539,5,406567,0.1,4,4,No
64,130777,659,4,132819,0.06,0,1,Yes
31,113311,817,0,113598,0.26,5,1,Yes
20,29425,619,30,81536,0.41,1,4,No
18,111549,530,13,179031,0.05,4,4,No
22,113464,329,28,109703,0.49,4,4,No
43,64990,833,8,236957,0.3,1,5,Yes
31,126748,455,17,421165,0.34,4,5,No
56,93746,698,5,425785,0.25,0,3,Yes
44,88295,645,14,117230,0.45,0,2,Yes
26,36091,494,30,388937,0.22,2,4,No
32,139943,467,15,454324,0.15,3,4,No
32,143102,676,7,24318,0.72,2,2,Yes
43,20002,788,18,23695,0.34,3,0,Yes
59,142818,661,4,85704,0.11,1,3,Yes
30,70411,781,13,304240,0.22,4,3,No
49,60958,543,6,241199,0.28,2,0,Yes
56,147829,470,3,222320,0.63,4,2,No
49,115696,812,29,385420,0.07,2,2,Yes
21,40707,705,27,221108,0.41,2,1,Yes
47,35248,506,20,386485,0.36,0,2,No
54,91309,453,0,270891,0.78,3,5,No
40,98322,347,3,331544,0.19,1,3,No
56,71720,300,29,93744,0.52,4,5,No
62,35037,706,13,260901,0.2,2,1,Yes
32,87421,406,22,366907,0.46,4,4,No
60,125364,472,15,9430,0.47,0,4,No
46,101867,805,27,89371,0.11,1,4,Yes
53,60612,429,25,110635,0.39,3,1,Yes
30,108031,697,6,33927,0.4,3,3,Yes
49,33450,593,9,133065,0.29,2,2,Yes
24,29491,746,9,327555,0.26,1,1,Yes
39,137026,315,3,123778,0.22,3,3,No
45,94804,648,11,145035,0.05,1,2,No
19,138446,502,5,223033,0.05,4,0,No
59,113293,433,12,350175,0.49,0,3,No
62,139498,825,20,442487,0.27,1,5,Yes
23,127443,807,0,345278,0.18,1,5,Yes
45,26791,365,7,408002,0.56,3,0,No
45,125475,779,27,212529,0.45,5,4,Yes
61,48314,758,22,47241,0.74,2,4,Yes
61,71883,641,30,231861,0.67,2,3,Yes
37,114119,458,15,221577,0.6,5,5,No
47,135557,460,4,225593,0.14,5,0,No
28,107086,553,28,445448,0.55,5,1,No
45,85629,826,25,16020,0.57,4,2,Yes
42,121291,848,25,433357,0.62,3,4,Yes
56,131151,454,6,165533,0.25,3,4,Yes
50,29967,785,30,412568,0.53,0,4,Yes
18,101754,731,25,323138,0.51,2,4,No
44,63220,326,2,413560,0.34,3,5,No
30,94163,311,23,111837,0.55,5,3,No
58,24947,366,20,452466,0.12,4,5,No
20,59419,841,1,83661,0.53,0,3,Yes
56,76131,395,1,370171,0.5,2,0,No
23,108714,514,19,155274,0.21,2,1,No
25,48876,493,22,47232,0.66,2,0,No
44,108444,589,29,464461,0.71,0,5,No
26,121448,843,9,405208,0.21,4,5,Yes
54,39971,338,19,366186,0.11,4,1,No
50,82539,505,8,31354,0.5,3,3,No
59,118120,783,17,345913,0.41,3,4,Yes
61,69228,636,5,140662,0.37,2,0,Yes
41,143695,795,19,230314,0.62,5,1,Yes
32,94495,548,5,149790,0.78,1,2,No
49,141241,373,25,486223,0.41,3,1,No
49,48261,672,24,238094,0.05,4,0,Yes
41,126601,437,9,149177,0.5,2,3,No
58,81260,756,27,141153,0.54,4,4,Yes
29,124998,743,24,250430,0.67,2,2,Yes
56,101371,652,8,244305,0.2,0,0,Yes
19,104793,710,8,122266,0.44,3,3,Yes
20,23346,837,2,383390,0.39,5,1,No
54,116343,752,11,359398,0.55,0,3,Yes
34,115954,718,10,196039,0.1,3,3,Yes
19,76176,749,13,418600,0.71,5,4,No
19,72300,414,24,75081,0.43,5,0,No
45,31340,350,18,10339,0.71,5,5,No
40,144345,668,9,413569,0.31,4,3,Yes
54,145467,814,18,326631,0.54,4,1,Yes
49,53012,509,4,424592,0.77,1,1,No
50,55393,734,21,229636,0.76,4,4,Yes
18,122153,526,8,89636,0.76,2,3,No
36,95133,567,0,9302,0.08,1,1,Yes
19,45557,415,14,400025,0.35,2,5,No
61,84204,659,23,263897,0.1,1,1,Yes
43,93273,628,29,99453,0.28,2,4,Yes
49,132328,339,29,404046,0.18,1,3,No
23,130304,481,3,154453,0.52,3,4,No
49,126637,789,25,250532,0.64,5,3,Yes
21,37276,508,6,136057,0.44,3,1,No
28,74639,572,5,315781,0.65,1,5,No
34,141939,418,14,253691,0.06,0,0,No
55,27310,681,5,465882,0.67,1,1,Yes
41,55167,835,6,402628,0.18,0,0,Yes
22,122944,557,19,81420,0.4,5,3,No
51,104880,782,21,327664,0.38,2,3,Yes
23,30391,808,2,191737,0.7,1,2,Yes
39,142013,391,20,237172,0.77,0,3,Yes
28,70621,460,28,94668,0.24,5,3,No
33,30892,448,28,51775,0.1,1,2,No
50,96733,416,29,183805,0.54,3,0,No
26,98586,757,30,420923,0.43,3,3,No
23,56142,344,12,428694,0.47,1,4,No
33,65679,533,1,273889,0.08,1,3,Yes
46,61615,674,2,174042,0.63,4,3,Yes
20,67553,846,12,104859,0.22,5,1,Yes
37,129264,496,8,147954,0.3,3,3,Yes
53,99071,324,21,132816,0.22,2,3,No
36,61002,694,18,82300,0.76,1,4,Yes
43,128807,335,17,226173,0.18,4,2,No
20,142611,773,4,74979,0.6,5,2,Yes
36,90658,522,9,280727,0.23,1,2,No
37,29852,829,13,177362,0.37,3,1,No
49,25387,487,20,321001,0.8,0,3,No
24,147571,701,16,342816,0.13,5,0,Yes
58,117295,556,2,91759,0.71,0,0,Yes
50,125935,435,6,25342,0.76,3,4,No
57,59994,743,8,320960,0.57,2,1,Yes
56,123412,717,4,80412,0.06,5,5,Yes
35,136912,591,3,63314,0.67,4,1,No
57,120414,428,2,398962,0.71,1,3,No
18,53725,640,25,367632,0.79,1,5,Yes
28,92682,556,12,422546,0.68,1,0,No
45,20560,399,8,215660,0.38,4,1,No
42,144210,338,29,440560,0.57,4,4,No
40,76565,562,22,103112,0.41,3,0,Yes
48,21312,449,27,164678,0.31,4,1,No
47,38205,629,6,101537,0.52,1,3,Yes
59,145882,419,29,190545,0.63,5,3,Yes
52,31595,518,28,14210,0.53,1,5,No
24,107566,422,7,85615,0.67,4,3,No
33,41329,543,9,32154,0.18,4,3,No
43,123678,817,0,33687,0.33,3,0,Yes
19,88187,320,26,339828,0.28,0,0,No
18,148509,489,19,476607,0.2,4,1,No
29,95542,524,28,492268,0.38,0,4,Yes
22,128237,765,28,20473,0.76,2,2,Yes
54,139389,398,20,318320,0.45,0,2,No
49,146688,662,20,200651,0.26,4,3,Yes
26,134476,382,0,297429,0.32,1,1,No
58,55645,355,18,93093,0.51,1,2,No
52,107502,321,1,178574,0.31,4,2,No
36,113382,484,11,281363,0.45,3,2,No
33,107310,821,22,450079,0.26,5,2,Yes
20,89619,563,12,180078,0.31,4,5,No
37,53513,524,13,323314,0.58,4,2,No
41,28749,337,4,117661,0.49,5,5,No
50,50783,422,2,457014,0.12,3,5,No
41,80645,455,26,438181,0.78,3,1,No
28,102861,600,23,301614,0.09,2,2,No
25,73175,366,16,69147,0.11,2,2,Yes
53,104216,693,0,108833,0.58,2,5,No
55,82709,704,13,44984,0.58,3,1,Yes
57,37323,748,5,50380,0.06,0,0,Yes
37,70762,430,16,370865,0.53,4,0,No
52,108220,368,3,250509,0.07,2,0,No
42,84222,644,5,339004,0.77,0,2,No
52,54493,619,0,484009,0.57,4,1,No
42,78328,476,28,78849,0.19,5,0,Yes
46,144467,828,8,52227,0.17,5,3,Yes
35,32213,459,30,96588,0.48,5,3,No
63,117367,832,3,382097,0.53,0,1,Yes
35,127832,434,8,422819,0.67,5,2,No
19,66930,410,8,354442,0.73,1,5,No
52,47713,582,28,23508,0.34,1,0,Yes
33,127157,819,21,218423,0.68,5,2,Yes
58,92723,493,12,141046,0.46,4,5,No
53,118336,346,22,156233,0.4,0,0,No
50,52583,641,30,126725,0.57,0,4,Yes
21,148792,541,28,34730,0.13,5,4,Yes
50,133197,821,16,83259,0.25,3,2,Yes
31,99944,669,20,348153,0.66,2,3,Yes
38,42369,430,2,137157,0.43,4,2,No
37,67928,569,25,93115,0.73,0,0,Yes
25,88950,360,25,224251,0.12,2,2,Yes
24,135844,463,28,228278,0.29,5,2,No
20,39510,824,5,417085,0.32,4,0,Yes
34,142940,571,19,151843,0.37,0,3,Yes
50,32120,432,14,308204,0.79,5,4,No
29,119847,543,28,387230,0.28,1,5,No
39,118575,733,13,474098,0.44,0,0,Yes
39,149269,337,12,26462,0.45,1,2,No
63,25295,618,8,372650,0.63,5,1,Yes
47,40460,809,22,417648,0.44,1,2,Yes
55,34963,675,14,388334,0.5,3,5,No
55,97116,773,13,280318,0.61,5,2,Yes
62,107822,358,30,349863,0.13,5,1,No
25,47328,798,3,427913,0.77,3,5,No
44,104629,517,28,189046,0.68,2,2,No
44,144034,428,10,272755,0.34,4,1,Yes
51,41605,682,21,379639,0.6,2,2,Yes
38,130901,687,1,27393,0.62,3,3,Yes
47,64813,384,29,489623,0.69,2,5,No
50,66371,809,15,403479,0.19,4,4,Yes
45,128241,736,18,420170,0.58,4,3,No
64,67598,592,30,148068,0.08,0,0,Yes
50,80776,348,15,409021,0.14,2,0,No
22,143217,366,26,472859,0.63,3,2,No
36,92258,428,6,343147,0.66,0,0,No
21,60969,328,10,419240,0.49,2,0,No
52,56912,642,11,177679,0.49,5,2,No
34,58374,844,3,220287,0.61,4,2,Yes
61,92302,418,29,476022,0.73,3,4,No
45,82784,432,15,481567,0.37,5,1,No
47,69882,626,27,223164,0.14,2,2,Yes
46,35928,484,25,84423,0.68,4,4,No
63,41274,805,15,367809,0.31,4,3,Yes
23,149994,833,6,356605,0.15,5,0,Yes
52,54416,540,24,148396,0.51,2,1,No
58,106148,815,29,5723,0.48,2,5,Yes
54,80998,464,12,104851,0.41,3,3,Yes
41,120434,517,4,63323,0.69,0,2,No
46,132696,304,29,209883,0.25,4,3,No
63,49047,380,0,134923,0.06,0,5,No
48,63356,546,4,411621,0.29,0,4,Yes
52,57134,792,21,131366,0.06,4,2,Yes
50,87042,685,13,399581,0.46,2,2,Yes
38,71310,606,10,325037,0.33,4,1,Yes
49,137604,842,1,262444,0.66,5,4,Yes
40,100758,306,23,444643,0.65,0,0,No
50,32363,814,28,32338,0.38,3,3,Yes
20,105149,372,17,74389,0.21,4,5,No
35,64563,309,14,402898,0.37,3,1,No
42,50628,421,13,338640,0.53,2,5,No
59,128162,812,24,29727,0.19,2,1,Yes
48,130920,740,29,422289,0.63,5,2,Yes
20,140953,337,12,485293,0.3,3,3,No
57,89672,644,1,24882,0.75,3,1,Yes
63,66246,637,18,315376,0.43,4,2,No
41,31161,483,7,64556,0.69,2,2,No
49,120993,366,26,319281,0.51,3,4,No
64,109110,316,21,50054,0.47,1,2,No
39,112438,682,16,203175,0.56,4,0,No
40,22810,667,14,423003,0.66,4,4,No
19,79860,615,19,93589,0.53,1,4,Yes
44,97199,796,20,198253,0.65,2,0,Yes
59,91688,644,13,424971,0.19,3,0,Yes
19,85548,772,26,98335,0.26,3,5,Yes
43,82363,414,2,41959,0.22,2,1,No
34,31162,399,16,342398,0.65,1,5,No
57,107858,737,2,225148,0.11,1,1,Yes
50,93535,644,12,95633,0.65,1,5,Yes
26,27219,648,24,93437,0.34,4,0,Yes
60,90864,438,17,99058,0.11,3,1,No
56,23621,623,0,436119,0.37,0,0,No
46,138371,601,6,195118,0.28,4,0,No
59,109792,593,28,437735,0.49,4,5,Yes
43,64433,828,22,373657,0.4,3,2,Yes
52,139998,591,4,278816,0.27,2,1,No
42,96850,373,1,405390,0.7,5,4,No
41,146344,783,29,154175,0.36,3,4,Yes
30,86188,315,16,13061,0.4,2,1,No
24,74951,825,28,484150,0.68,3,1,Yes
53,101718,635,20,365306,0.12,4,1,Yes
62,127116,815,9,411481,0.34,5,1,Yes
37,56558,426,3,235254,0.35,1,2,No
18,148938,817,8,243161,0.42,4,0,Yes
25,35659,428,20,378378,0.13,4,1,No
63,54413,810,10,437256,0.13,0,5,Yes
33,30435,722,25,493224,0.36,4,1,No
31,139200,684,11,247118,0.07,4,0,No
29,73911,531,11,416209,0.24,4,0,No
40,48067,494,17,63219,0.2,5,0,No
32,107794,364,3,77250,0.42,0,5,No
45,113823,576,28,362447,0.06,2,3,Yes
51,89224,523,27,42877,0.56,5,4,No
19,93225,577,8,262183,0.69,5,5,No
49,21379,665,7,264158,0.58,0,1,Yes
40,122547,815,18,482584,0.66,1,2,Yes
39,128541,514,23,345429,0.53,2,2,Yes
42,47624,738,12,348568,0.43,5,0,No
39,111500,727,1,498656,0.21,5,2,Yes
39,108427,695,18,152092,0.26,0,4,Yes
59,134634,508,13,241342,0.29,1,1,Yes
23,142507,800,4,301965,0.08,1,2,Yes
32,148701,762,26,209371,0.73,3,4,Yes
60,77745,526,27,444216,0.73,3,4,No
54,71805,674,29,168923,0.13,5,3,Yes
50,123915,799,25,266369,0.47,5,3,Yes
25,140815,392,9,21025,0.4,4,2,No
61,32516,759,23,96551,0.56,2,4,Yes
61,99422,620,16,20431,0.5,0,0,Yes
22,105843,309,19,482804,0.14,4,3,No
56,149560,602,15,239607,0.55,2,4,Yes
21,44843,621,16,441395,0.51,5,3,No
23,132020,755,0,308802,0.45,3,1,Yes
62,25912,577,27,383652,0.35,0,4,Yes
49,41514,837,20,429208,0.77,1,4,Yes
47,107359,692,21,443801,0.69,1,5,No
64,77032,394,14,463407,0.49,4,1,No
52,48797,406,16,192473,0.05,4,5,No
57,26449,689,10,178130,0.37,0,3,Yes
33,21725,825,21,208180,0.58,1,1,Yes
30,101406,370,4,61779,0.14,4,2,No
59,29304,675,3,40662,0.35,1,0,Yes
47,93058,667,25,172257,0.19,3,3,Yes
36,145555,350,20,349312,0.3,4,4,No
34,33663,442,23,406026,0.07,5,2,No
36,90320,718,8,476426,0.15,2,3,Yes
45,95008,847,26,56042,0.39,4,0,Yes
43,135920,799,15,209488,0.72,3,4,Yes
54,114488,466,29,345330,0.42,0,1,No
43,147418,559,11,393391,0.39,1,0,No
40,95591,491,17,170955,0.64,5,5,Yes
26,115044,501,21,437565,0.25,0,3,No
29,32676,484,2,57215,0.12,4,4,No
18,45192,457,14,174491,0.21,2,3,No
18,44722,398,17,465558,0.64,0,0,No
64,27446,540,11,266724,0.56,2,4,No
51,139304,790,29,241676,0.12,4,0,Yes
49,24725,501,12,463022,0.55,2,3,No
42,105597,808,0,160943,0.75,2,5,No
57,133073,395,3,318990,0.08,3,4,No
62,108207,789,7,375631,0.51,0,4,Yes
18,77632,517,18,447207,0.33,4,4,No
33,86945,826,20,262891,0.43,3,3,Yes
56,93741,572,29,314280,0.45,2,2,Yes
22,36365,518,25,207101,0.63,3,5,No
39,85792,631,20,37548,0.47,3,3,Yes
46,84857,752,4,127911,0.49,2,1,Yes
20,136409,451,10,271794,0.3,4,2,No
29,35704,646,24,62278,0.14,1,3,Yes
43,70575,713,30,180907,0.56,3,1,Yes
33,49902,826,23,21225,0.05,0,0,Yes
54,139641,730,23,50360,0.3,2,1,Yes
39,121294,678,28,202400,0.21,1,5,Yes
46,21195,727,28,231411,0.34,3,4,No
31,139247,383,16,451559,0.28,2,5,No
45,73517,491,16,235465,0.58,2,2,Yes
22,54012,340,1,331152,0.25,3,3,No
64,31415,608,29,62573,0.47,5,5,No
47,59534,677,23,56932,0.39,5,3,Yes
63,41686,435,25,394477,0.65,0,4,No
22,97198,405,0,25881,0.37,2,2,Yes
29,134514,818,30,38557,0.7,2,2,Yes
33,48743,841,3,205802,0.05,3,5,Yes
43,52161,425,8,214166,0.5,1,4,No
43,81313,656,1,490126,0.06,2,2,No
38,135994,699,2,328468,0.59,2,4,No
56,128617,378,26,287985,0.23,3,1,Yes
53,22402,688,5,280619,0.33,5,5,No
50,83190,834,12,11671,0.34,2,4,Yes
47,135184,373,14,196656,0.68,3,3,No
54,72551,304,10,36764,0.13,0,0,No
40,33275,762,9,452003,0.55,3,1,No
27,48182,381,2,404177,0.79,5,5,No
22,34915,836,30,323034,0.07,1,5,Yes
53,20909,704,30,377496,0.77,2,5,Yes
51,134110,813,19,394952,0.06,0,3,Yes
48,85908,577,8,331028,0.68,2,1,No
27,147337,523,24,272299,0.77,2,3,No
36,42620,367,9,134518,0.79,5,2,No
49,54112,619,20,234689,0.39,3,4,Yes
18,94051,318,22,257393,0.7,2,3,No
22,22431,642,24,395419,0.14,5,3,No
62,106590,642,23,70768,0.37,0,2,Yes
21,82175,396,26,125423,0.28,5,0,No
33,137472,351,22,65851,0.35,5,0,No
41,52624,474,11,407437,0.58,5,4,No
33,96121,637,7,49566,0.12,4,2,Yes
19,81264,652,20,225841,0.8,5,1,No
45,133766,690,20,400927,0.53,2,3,No
49,51958,414,20,148603,0.71,5,4,No
44,144095,647,16,408696,0.67,3,0,Yes
37,21695,300,21,438924,0.62,1,1,No
41,120211,362,4,279335,0.08,2,5,No
29,139502,525,23,458165,0.44,5,2,Yes
52,69932,722,7,254104,0.3,5,5,Yes
50,119323,318,17,203730,0.13,3,3,No
50,64225,330,10,8779,0.31,2,5,No
60,21403,323,21,338334,0.53,4,5,No
54,103346,510,27,115678,0.22,4,3,Yes
29,94391,460,26,390904,0.38,0,0,No
20,58636,554,9,266752,0.35,4,5,No
18,30839,413,25,474921,0.09,3,0,No
50,85546,803,14,464924,0.52,4,4,Yes
57,124634,519,5,12317,0.51,3,5,No
27,67829,656,18,192968,0.77,2,5,No
60,29230,468,16,5159,0.27,0,3,No
61,71977,823,22,130373,0.36,5,3,Yes
46,60232,541,9,62115,0.35,5,5,No
30,133050,674,4,203737,0.74,5,5,Yes
29,121307,438,27,24462,0.36,0,3,Yes
48,114792,396,15,220221,0.38,5,3,No
63,45651,446,11,270061,0.24,4,1,No
19,117919,481,25,417613,0.05,5,2,No
52,59963,356,20,293269,0.13,5,1,No
40,75872,341,26,247141,0.58,1,5,No
34,137776,842,23,470078,0.56,4,2,Yes
43,99198,301,27,196801,0.29,5,1,Yes
25,33739,587,4,235955,0.4,1,4,No
46,83294,437,20,314421,0.27,4,2,No
43,68356,811,0,281493,0.6,3,3,No
27,21789,521,1,65715,0.68,3,2,No
43,39420,630,4,170800,0.72,5,3,No
51,109297,703,22,166864,0.18,5,4,Yes
58,125902,807,18,12902,0.57,1,5,Yes
24,57606,426,27,126345,0.77,0,2,No
21,58640,564,14,84569,0.54,1,0,No
62,138341,314,0,369292,0.31,2,3,No
28,64135,525,10,370145,0.53,0,2,No
46,57067,404,27,40158,0.57,1,1,No
53,78420,792,17,235795,0.35,2,2,Yes
42,37357,618,2,8917,0.13,2,3,Yes
38,59851,518,27,230019,0.5,5,0,No
53,58262,576,8,346886,0.65,4,0,No
27,144745,640,23,410836,0.8,5,1,No
54,96853,751,30,394474,0.22,1,4,Yes
26,78643,668,3,213430,0.58,3,0,No
41,138094,773,23,108246,0.07,5,5,Yes
52,41534,489,12,472106,0.78,4,4,No
52,111270,718,8,29691,0.06,5,3,Yes
53,121433,794,2,487706,0.32,5,2,Yes
35,52872,338,15,75734,0.11,0,4,No
56,125737,461,21,31046,0.52,3,5,No
49,27689,420,7,158458,0.3,2,3,No
41,89103,698,25,409487,0.6,0,3,Yes
40,106268,561,6,157598,0.41,4,3,No
49,106310,428,24,123540,0.36,5,5,No
54,108731,839,22,48798,0.31,2,1,Yes
29,135869,655,16,128293,0.11,5,5,Yes
30,57412,731,24,423473,0.2,2,1,Yes
40,67734,364,27,194057,0.53,2,4,No
42,129634,517,15,451346,0.42,3,3,No
52,107793,726,20,252192,0.1,4,4,Yes
58,89930,373,21,79396,0.46,4,0,No
47,121838,759,17,424861,0.09,5,4,Yes
34,42228,724,15,422405,0.43,3,2,No
37,140627,491,14,86298,0.77,4,3,No
42,97924,488,1,137040,0.28,2,4,Yes
39,31319,311,28,272944,0.59,2,1,No
30,26475,538,19,422445,0.61,5,2,No
36,117091,752,3,325668,0.35,2,4,Yes
53,103694,682,4,101585,0.49,4,4,Yes
29,34728,347,6,427933,0.4,1,4,No
58,130310,616,28,387423,0.26,0,5,Yes
36,49545,508,26,485519,0.62,1,5,No
29,116636,846,27,471222,0.58,3,5,Yes
26,142971,418,14,397069,0.73,1,1,No
24,101686,614,16,461454,0.51,5,4,No
45,118750,335,9,140891,0.34,1,5,No
31,118412,762,19,323928,0.59,5,0,No
48,81756,702,28,237611,0.51,3,0,Yes
36,88775,406,8,92175,0.51,1,0,No
64,58699,338,15,468052,0.69,0,4,No
33,56821,479,23,51935,0.73,4,2,No
22,50615,311,2,446645,0.19,3,1,No
52,33746,638,21,487545,0.29,1,0,No
29,106457,847,26,212679,0.54,2,0,Yes
42,42745,425,8,140070,0.47,2,5,No
38,21245,362,7,46750,0.54,3,2,No
53,137408,381,22,403396,0.37,2,0,No
40,132143,598,6,345432,0.36,0,1,Yes
33,44853,333,16,297657,0.14,1,2,No
56,47632,348,30,108725,0.52,0,3,No
62,32856,356,4,22879,0.18,0,1,No
59,76893,408,6,357042,0.55,4,1,No
56,90641,816,29,328977,0.78,1,4,Yes
31,121226,323,12,19316,0.24,3,3,Yes
48,88049,520,17,491396,0.16,2,3,No
22,78182,614,30,474651,0.07,4,2,No
52,22801,593,21,160597,0.33,0,0,No
40,117881,309,13,272522,0.21,2,3,No
46,99431,780,17,184741,0.42,1,2,Yes
60,59749,566,2,400793,0.44,0,3,No
28,93757,387,16,157762,0.31,0,5,No
35,75654,754,18,373581,0.61,1,1,No
64,91574,832,30,235611,0.73,3,5,Yes
29,117567,447,6,251818,0.21,4,3,No
26,75381,730,20,194586,0.68,1,0,Yes
27,78601,541,3,217249,0.15,2,2,No
61,35082,365,14,459178,0.22,2,0,No
34,34648,677,30,467411,0.47,0,4,Yes
55,20364,687,28,82383,0.28,5,0,Yes
