Age,Annual_Income,Credit_Score,Years_Employed,Purchase_Count,Website_Visits,Will_Purchase
47,66197,815,7,11,28,Yes
54,145733,663,5,22,49,Yes
40,75180,681,5,1,36,Yes
56,43710,831,17,23,13,Yes
62,49486,451,16,21,32,Yes
32,91907,719,11,18,36,Yes
60,148876,549,5,24,37,Yes
46,91895,416,7,4,26,No
53,84435,811,18,7,22,No
30,60631,634,9,6,4,No
49,149038,717,0,13,31,Yes
24,121532,594,12,23,18,Yes
39,40103,670,16,22,38,No
45,84772,485,2,2,24,No
19,146108,545,7,17,23,Yes
59,34382,567,13,15,22,No
62,104291,536,2,22,2,Yes
23,121195,829,15,18,31,No
45,23756,320,12,18,11,No
45,40609,819,19,17,28,Yes
61,134074,399,16,19,46,Yes
61,36478,777,12,15,32,No
37,120978,597,5,7,5,No
47,59666,825,16,27,38,Yes
28,95683,633,13,0,10,No
45,119097,301,16,16,40,Yes
42,144714,674,7,11,46,Yes
56,120420,592,10,29,24,No
50,91315,617,19,20,35,Yes
18,97834,801,0,10,44,Yes
44,146205,680,6,4,48,Yes
30,34153,313,20,26,23,Yes
58,129415,803,20,11,17,Yes
20,96325,530,16,16,1,No
56,129701,383,9,5,31,Yes
23,32999,429,10,0,31,No
25,75318,444,8,4,42,No
44,20814,327,8,24,42,No
26,135033,365,4,27,34,Yes
54,96077,462,16,13,9,Yes
50,110474,528,8,4,22,No
59,22443,560,16,21,13,No
61,95993,748,20,23,25,Yes
41,95916,723,18,26,48,Yes
32,93319,759,6,0,18,No
49,145885,600,8,29,12,Yes
49,129777,602,6,17,40,No
41,37368,586,12,15,17,Yes
58,35328,694,10,8,15,No
29,76942,309,13,18,42,Yes
56,111751,569,18,21,15,Yes
19,119131,660,10,4,15,Yes
20,47306,556,12,26,39,Yes
54,105451,432,13,1,13,Yes
34,59915,575,12,29,17,Yes
19,57219,812,0,14,32,No
19,100879,612,7,6,9,Yes
45,131939,583,11,3,40,Yes
40,84644,420,18,0,20,No
54,80279,406,11,12,26,No
49,73028,503,7,19,27,No
50,124263,464,7,21,21,Yes
18,20126,604,20,6,18,No
36,72329,796,12,14,13,No
19,47632,455,11,22,16,No
61,127099,666,15,13,9,Yes
43,85310,550,0,22,12,Yes
49,129945,633,12,18,44,Yes
23,75176,810,6,21,38,Yes
49,139797,592,4,28,19,Yes
21,106066,319,7,23,7,No
28,125500,581,13,19,35,Yes
34,146413,300,12,28,48,Yes
55,64327,418,14,23,18,No
41,88904,334,16,17,16,No
22,23797,497,14,30,39,No
51,67882,784,19,9,4,No
23,33718,358,17,8,25,Yes
39,54560,460,17,24,32,Yes
28,96589,505,1,7,40,No
65,42116,311,3,25,13,No
33,56244,789,0,29,45,No
50,121721,575,3,28,17,Yes
26,21645,541,17,9,49,Yes
23,67523,515,4,16,37,No
33,144085,550,18,1,6,Yes
46,137718,425,14,5,19,No
20,39256,516,7,25,13,No
37,121376,605,19,4,26,No
53,120158,484,16,27,14,Yes
36,73173,338,0,29,31,No
43,57430,522,11,8,4,No
20,59282,483,18,4,39,No
36,139719,794,14,17,8,Yes
37,83374,726,8,25,25,Yes
49,88244,477,6,19,13,No
24,31694,727,1,8,32,No
58,76264,593,8,16,38,No
50,95060,450,9,26,38,Yes
57,117416,683,1,16,28,No
56,77545,607,18,11,30,Yes
35,138195,635,10,6,3,Yes
57,59224,674,12,26,28,Yes
18,122516,307,9,2,3,No
28,117945,640,13,9,45,Yes
45,33224,428,17,1,34,No
42,60738,651,18,24,16,No
40,45150,657,8,2,22,No
48,83731,816,6,15,32,Yes
47,69688,794,2,1,38,Yes
59,119929,385,19,27,8,No
52,128618,474,5,23,8,No
24,93509,492,20,9,6,No
33,28577,610,1,5,14,No
43,28070,418,5,21,32,No
65,146161,517,2,25,35,Yes
19,28666,726,15,10,10,No
18,77761,713,7,22,3,Yes
65,141178,413,1,6,12,Yes
29,56368,444,16,26,49,Yes
22,26783,837,8,28,31,Yes
54,131530,602,11,14,29,Yes
49,61914,644,2,5,5,Yes
26,90507,300,10,19,25,No
58,147738,446,0,26,41,Yes
52,99026,586,12,8,31,Yes
36,135893,352,14,21,21,No
65,131255,603,4,19,20,No
33,130616,368,20,11,39,Yes
20,87526,660,16,18,22,Yes
37,90835,519,5,19,4,Yes
41,65765,460,20,2,13,No
50,39956,388,10,14,45,Yes
41,107895,458,17,1,42,No
28,66240,788,3,29,50,Yes
25,141008,623,2,20,49,No
53,57148,680,12,1,20,No
55,114270,401,8,21,13,Yes
57,147978,793,20,2,17,Yes
37,24757,318,5,5,36,No
52,39097,753,11,14,33,Yes
65,30395,781,1,26,1,No
42,36241,696,2,9,15,No
52,123892,578,2,8,13,No
42,47696,664,11,0,17,No
46,135654,630,14,15,24,Yes
35,90480,643,8,5,8,No
63,66163,754,7,8,50,No
35,39816,364,10,26,27,No
19,69840,375,15,3,45,Yes
52,122547,442,3,26,23,No
33,72853,772,0,27,46,No
58,44917,716,6,1,8,Yes
53,116731,604,1,28,8,Yes
50,41566,796,4,3,26,No
21,95452,590,6,0,47,No
50,82823,401,3,18,13,Yes
31,141392,566,4,25,39,Yes
38,40806,302,0,24,37,No
65,95520,384,0,9,49,No
37,21759,627,14,20,28,No
25,146092,749,19,14,25,Yes
24,61949,753,18,26,16,Yes
20,112374,520,9,21,2,Yes
34,22482,453,17,18,18,Yes
50,44442,311,2,15,17,No
65,53719,432,10,20,30,Yes
29,78066,603,14,26,39,Yes
39,113501,592,10,23,13,Yes
39,22079,599,16,21,32,Yes
63,22717,342,16,3,50,No
47,79676,642,5,1,29,No
55,47952,625,4,29,46,Yes
55,106444,797,7,24,30,No
62,62460,663,1,12,18,No
25,110397,726,15,27,13,Yes
44,92847,320,19,0,43,No
44,113607,706,11,16,21,Yes
51,109106,635,5,12,30,Yes
38,38449,416,0,3,21,No
47,53536,423,3,6,48,No
50,84077,698,16,16,17,No
45,58258,350,12,8,40,No
64,68302,623,17,3,19,No
50,145937,440,4,18,15,No
22,48865,769,2,0,9,No
65,26645,633,10,9,10,Yes
36,139771,672,12,3,44,Yes
21,58000,793,3,8,31,No
52,46737,838,13,12,23,Yes
34,31485,455,10,13,30,No
61,58565,590,9,9,33,Yes
45,45522,443,18,5,9,No
47,139614,405,17,15,47,Yes
46,85155,719,5,5,1,No
63,75168,301,14,16,44,Yes
23,72487,389,20,9,35,No
52,149948,644,9,17,11,Yes
58,32342,649,4,26,34,No
54,60806,758,4,21,16,No
41,68770,562,9,17,9,No
46,98623,650,4,2,32,No
63,123177,407,2,19,15,Yes
48,119785,338,5,26,12,Yes
52,95629,458,3,20,33,Yes
50,140993,611,17,30,45,Yes
38,72603,540,8,24,14,Yes
49,146944,744,16,27,8,Yes
40,132726,597,12,14,8,No
50,101974,335,14,14,27,No
20,125947,383,19,3,12,Yes
35,46399,751,16,28,1,No
42,148177,684,12,26,43,Yes
59,105382,471,15,8,40,Yes
48,101244,675,3,26,42,Yes
20,129575,661,4,25,11,No
57,135520,440,4,18,39,Yes
63,130904,417,8,23,43,Yes
41,96534,576,16,27,31,No
49,75106,519,12,16,17,Yes
64,132599,325,1,10,33,Yes
39,50678,820,12,24,32,Yes
40,96218,309,20,8,29,No
19,83230,677,18,9,21,No
44,134684,451,2,17,21,Yes
59,94055,348,9,19,40,Yes
19,76373,453,1,12,23,No
43,51480,592,12,7,6,No
34,105230,349,18,6,22,No
57,88836,830,16,16,50,Yes
50,92258,359,20,20,38,No
26,59986,466,13,22,37,No
60,44160,501,11,14,45,No
65,105595,445,20,19,8,Yes
56,121358,738,11,14,41,Yes
46,99111,541,10,30,49,Yes
59,84929,782,6,0,35,Yes
43,93506,407,3,24,11,Yes
52,54911,525,18,13,24,No
42,107127,731,0,4,49,No
41,51821,718,2,10,21,Yes
30,95039,754,12,15,2,Yes
24,80535,459,14,1,40,No
53,133453,822,1,7,19,Yes
62,104458,376,10,10,39,No
37,32175,808,3,28,28,Yes
18,139235,740,18,17,17,Yes
25,74771,553,16,2,6,No
63,126660,619,2,29,19,Yes
33,147157,562,17,25,38,Yes
31,141300,673,7,0,28,No
29,106925,466,18,10,2,No
40,133374,758,4,15,38,Yes
32,86358,579,6,17,37,No
45,37327,601,20,29,4,Yes
51,67057,830,7,15,22,Yes
19,26150,517,4,22,26,No
49,24425,401,16,9,49,No
40,143654,587,4,17,43,Yes
39,36032,466,3,5,36,No
42,22198,335,18,30,13,No
39,80500,652,20,18,32,Yes
39,73394,372,1,3,17,No
59,40079,652,10,26,41,Yes
23,56220,369,12,30,36,No
32,61874,724,14,12,46,Yes
60,33859,816,11,23,19,No
54,70460,727,20,13,35,No
50,51419,838,10,2,46,Yes
25,138865,459,6,9,40,Yes
61,28705,448,4,5,28,No
61,62880,529,16,0,1,No
22,149838,366,19,22,42,Yes
56,43236,680,8,23,18,Yes
21,107955,357,13,26,48,Yes
23,105514,558,11,13,40,No
62,123145,641,5,7,33,Yes
49,35358,429,16,18,12,No
47,119713,471,18,13,8,Yes
64,114914,508,18,9,24,No
52,122870,653,15,16,16,Yes
57,96918,770,11,8,50,Yes
33,139179,415,11,28,4,Yes
30,136243,563,19,5,38,No
59,34596,741,5,10,44,Yes
47,53572,847,3,24,27,Yes
36,98757,752,5,6,9,Yes
34,21279,776,10,16,47,No
36,83197,586,0,27,16,Yes
45,131496,602,14,27,12,Yes
43,82516,610,10,0,31,No
54,27083,507,18,21,24,Yes
43,140674,745,17,4,14,Yes
40,140307,354,16,8,45,Yes
26,146457,311,18,17,25,No
29,129397,699,20,23,34,Yes
18,37771,814,13,26,3,Yes
18,49975,841,17,20,24,Yes
64,65648,536,18,1,42,No
51,145641,578,14,28,9,Yes
49,68285,647,14,25,26,Yes
65,39063,403,3,10,20,No
42,87642,816,6,26,40,Yes
57,110093,547,12,27,10,Yes
62,134390,663,2,5,19,Yes
18,106143,620,15,25,3,Yes
33,57599,585,8,7,24,No
56,71920,448,7,3,5,No
22,48529,383,19,17,3,Yes
39,55954,705,12,27,27,Yes
46,47856,755,16,10,16,Yes
20,22573,460,16,4,49,No
29,98344,759,16,14,15,Yes
43,55367,849,0,27,35,Yes
33,122337,799,7,17,12,Yes
54,126732,808,18,1,41,Yes
39,119608,780,5,30,44,Yes
46,80774,413,2,21,26,No
31,43752,660,4,10,47,No
45,75029,640,12,25,34,Yes
22,37685,748,14,24,23,Yes
64,71693,479,13,12,31,No
47,136739,706,15,3,50,Yes
63,75961,495,17,21,20,Yes
22,126937,765,10,6,12,No
29,144956,610,2,28,23,Yes
33,96908,561,9,10,4,No
43,145537,718,9,21,23,Yes
43,146678,705,20,23,48,Yes
65,94532,442,15,3,48,Yes
38,101994,641,11,27,1,Yes
56,76133,615,1,14,25,No
53,117425,400,8,0,2,No
50,145055,543,2,22,30,No
47,81268,789,14,2,3,No
54,112201,311,2,13,21,No
40,58243,538,18,5,25,Yes
27,77384,341,17,17,20,No
22,51653,728,7,24,49,Yes
53,46657,457,16,0,22,Yes
51,59952,515,7,5,21,No
48,42180,761,6,5,33,No
27,117432,433,6,20,38,Yes
36,141829,366,2,15,15,Yes
49,148377,306,0,28,46,No
18,98411,825,3,4,15,No
22,21622,372,4,16,46,No
62,68756,698,0,9,25,Yes
21,60809,704,14,27,21,Yes
33,36725,429,4,20,24,Yes
41,81396,765,12,17,5,No
33,71226,505,7,6,6,No
19,126296,565,7,2,49,Yes
45,101182,836,4,12,43,No
49,102565,552,8,14,48,No
44,49402,588,0,19,44,Yes
37,24263,463,3,18,47,Yes
41,143489,394,2,2,23,No
29,116523,409,1,3,4,No
52,66828,635,7,4,27,No
50,140824,537,8,0,18,No
50,67924,680,1,3,21,No
60,94182,735,13,11,28,No
54,113065,782,13,27,35,Yes
29,79052,324,3,26,22,No
20,31664,416,5,23,40,No
18,55737,781,10,9,23,No
50,121332,691,2,22,3,Yes
57,109563,836,7,24,40,No
27,49373,378,2,20,50,No
60,137369,472,13,28,10,Yes
61,56397,311,12,30,25,No
46,148575,427,12,25,49,Yes
30,106145,391,1,19,8,No
29,121371,842,12,23,11,Yes
48,58709,831,18,24,5,Yes
63,136074,746,5,12,45,Yes
19,81120,689,15,22,37,No
52,39250,342,1,13,45,No
40,41172,553,7,22,38,Yes
34,31555,429,16,4,29,No
43,107410,359,1,3,5,No
25,98617,766,9,13,9,Yes
46,73276,586,15,9,48,Yes
43,77492,816,5,16,2,No
27,73002,766,1,9,1,Yes
43,140103,644,1,25,40,Yes
51,144938,681,12,6,30,Yes
58,109599,552,14,15,11,No
24,92355,355,1,0,28,No
21,111248,762,6,16,44,Yes
62,44762,756,2,20,12,No
28,31046,382,7,28,39,Yes
46,116999,398,13,8,26,No
53,144130,448,6,5,13,No
42,136021,628,20,18,8,Yes
38,48769,455,6,12,28,No
53,73302,489,0,2,30,No
27,43150,793,16,6,9,No
54,88247,562,8,21,39,No
26,24853,379,20,8,31,No
41,114613,699,12,21,21,Yes
52,140900,559,20,4,47,Yes
52,109399,400,18,9,34,No
65,41792,658,20,22,31,No
53,79129,679,18,16,25,No
35,126019,520,16,11,12,Yes
56,94478,719,9,22,1,No
49,133811,423,9,15,22,Yes
41,134130,721,3,2,40,No
40,87298,530,7,29,37,Yes
49,51987,362,19,24,47,Yes
54,35850,784,19,30,1,Yes
29,32112,782,17,21,1,No
30,141789,818,13,8,42,Yes
40,44058,454,17,28,42,Yes
42,65420,391,13,14,21,No
52,58890,825,19,4,15,No
58,86017,754,20,22,17,Yes
47,67304,809,14,12,22,Yes
34,52921,482,3,13,38,No
37,125921,685,12,19,35,Yes
65,21524,704,7,14,45,No
42,120424,545,17,15,16,No
39,35048,770,11,22,8,No
30,55111,722,13,12,47,Yes
36,57904,364,1,16,17,No
53,74912,312,17,22,17,Yes
29,54008,512,1,7,26,No
58,20060,541,10,20,13,No
36,94666,792,8,1,17,Yes
29,103559,512,11,4,38,Yes
26,75337,637,16,5,17,No
24,130616,472,14,11,48,Yes
45,33350,463,16,17,14,No
31,44354,764,17,29,45,Yes
48,65186,796,5,21,6,No
36,48145,694,16,21,35,No
64,54020,607,17,0,46,No
33,106123,482,7,29,14,Yes
22,126667,809,8,16,47,Yes
52,95186,845,5,29,8,No
29,105469,526,4,10,15,No
42,40581,735,11,9,27,No
38,108929,721,10,18,13,Yes
53,43051,320,0,13,49,No
40,71474,696,10,25,31,Yes
33,111748,404,18,9,35,Yes
56,145995,491,8,14,6,No
62,134618,316,1,27,5,Yes
59,89626,419,11,18,22,Yes
56,26960,692,3,3,49,No
31,55772,724,3,1,23,No
48,41520,428,17,8,25,No
22,69481,429,14,9,34,Yes
52,56408,328,18,27,26,No
40,114006,396,12,10,47,No
46,148496,309,18,13,5,No
60,77134,541,16,6,26,Yes
28,40491,531,5,22,20,No
35,21341,583,15,14,6,No
64,64623,499,11,21,6,No
29,110327,378,18,30,50,Yes
26,20338,472,4,18,18,No
27,91431,766,16,21,4,Yes
61,32254,715,0,14,17,No
34,71860,748,9,29,14,Yes
55,31344,386,14,27,14,Yes
24,21750,400,20,23,13,Yes
63,74756,307,20,7,7,No
30,87957,499,10,10,44,No
57,125423,804,12,28,15,Yes
59,78053,386,4,8,19,No
26,90855,342,0,14,43,No
44,35896,684,11,0,47,Yes
19,75761,734,10,29,44,No
22,82552,707,16,0,35,No
46,140075,782,3,18,17,Yes
54,97454,316,14,2,35,No
55,146522,447,8,9,19,Yes
36,138681,576,20,7,20,No
25,110600,531,19,14,36,Yes
65,142732,665,18,9,35,Yes
62,132153,527,18,0,32,No
18,142926,735,11,28,48,Yes
39,47935,698,4,17,44,No
34,57641,510,9,1,40,No
24,49711,690,16,18,24,No
42,90342,798,4,12,17,Yes
62,126896,839,15,21,7,Yes
21,32182,790,6,0,43,No
53,107833,741,8,1,50,Yes
23,76276,560,2,28,1,No
48,39541,649,14,15,35,Yes
36,114457,651,15,14,32,No
61,102310,819,17,12,36,No
56,64813,619,13,15,13,No
44,57198,437,2,16,6,Yes
27,28820,849,11,20,14,Yes
43,44070,667,8,28,37,Yes
36,89768,519,6,28,48,No
56,31122,636,8,6,15,No
20,100559,522,12,23,47,Yes
62,93543,659,17,25,4,Yes
30,103441,628,4,16,40,No
45,61786,762,12,6,16,No
37,114934,681,3,12,28,Yes
45,119804,468,1,4,16,No
25,26737,516,15,25,4,No
58,56062,677,8,16,45,Yes
56,74237,418,8,2,26,No
18,71571,489,5,6,28,No
20,45510,669,10,25,32,Yes
30,39426,448,0,16,45,No
45,57265,787,3,6,2,No
42,37850,673,12,20,31,No
50,138249,459,12,0,3,No
55,86150,650,12,16,8,Yes
23,107312,587,1,29,24,Yes
61,109613,587,8,16,15,Yes
62,94910,525,7,10,43,Yes
49,72375,822,6,24,31,Yes
62,141826,821,3,26,9,Yes
64,55435,572,17,28,39,Yes
38,116443,701,2,2,45,Yes
33,77132,482,5,14,2,No
38,98945,787,11,28,8,Yes
28,102050,423,11,20,7,No
54,149828,713,20,10,44,Yes
53,115402,471,7,25,39,No
52,22983,587,0,27,42,Yes
36,117241,734,3,15,16,No
37,40662,412,20,24,35,No
35,43510,421,10,21,30,No
64,98187,843,2,27,10,Yes
58,60998,521,12,8,38,No
31,76846,338,16,23,18,No
32,114071,796,9,23,50,Yes
48,26640,532,20,0,5,No
18,64547,829,11,28,29,Yes
20,74620,448,14,24,39,Yes
33,35317,696,20,21,34,Yes
40,135608,601,9,15,43,Yes
28,27564,659,13,8,45,No
29,47345,537,12,18,23,No
27,133824,535,4,11,5,No
49,114223,502,5,18,30,No
33,143372,555,1,21,6,No
25,99273,534,16,8,46,Yes
55,94859,644,3,6,44,Yes
29,100765,833,13,13,4,No
41,130017,765,9,28,29,Yes
45,94038,840,2,18,23,Yes
25,143618,512,2,18,6,Yes
45,72393,762,14,1,32,Yes
53,86081,735,5,8,42,Yes
43,145341,582,16,12,18,Yes
25,122650,762,11,14,15,Yes
45,49430,706,19,2,40,Yes
45,95532,387,10,10,32,No
54,47788,343,3,20,9,No
58,115505,760,5,13,37,Yes
53,68543,577,0,29,10,Yes
44,33919,720,19,24,20,Yes
34,89346,652,15,7,6,No
26,116122,814,14,17,48,No
50,59974,318,16,18,3,No
37,127309,322,7,15,42,Yes
30,36371,712,11,1,11,No
45,65084,329,20,7,43,No
65,49629,407,9,21,17,No
46,71184,666,14,5,32,No
30,81916,580,8,11,4,No
63,147293,427,1,14,4,No
52,93972,528,4,24,17,Yes
23,82187,410,5,7,41,No
35,32984,435,6,3,19,No
22,53039,661,20,14,5,No
64,105431,485,0,27,32,Yes
42,103691,428,6,19,22,No
19,78606,560,19,24,6,Yes
27,30616,814,11,16,35,Yes
47,122665,748,15,12,22,Yes
62,125373,403,15,17,1,Yes
22,70072,782,10,1,20,No
50,44574,523,20,12,22,Yes
18,23430,790,3,12,48,No
35,139123,772,12,21,11,Yes
49,32676,309,6,14,13,No
64,30816,704,3,19,42,No
28,52733,601,14,28,3,Yes
38,105680,530,18,26,9,Yes
43,22050,365,8,9,12,No
42,129996,411,10,28,23,No
39,53933,312,7,2,14,No
44,44951,692,0,18,33,No
30,52413,799,7,2,18,No
50,54801,533,12,21,49,Yes
51,75619,613,3,13,41,Yes
58,52913,311,7,7,9,No
52,132573,508,2,26,23,Yes
18,139076,313,8,22,10,No
38,60600,717,1,29,19,Yes
65,77775,736,1,3,47,Yes
23,110816,676,12,26,5,Yes
45,149972,319,14,27,47,No
34,110093,369,11,19,23,Yes
22,132590,510,3,10,30,No
48,55400,400,7,25,25,Yes
22,24494,431,8,30,28,No
55,100688,680,4,10,34,Yes
20,142744,431,19,26,45,Yes
40,109431,319,17,29,48,No
54,94691,835,10,10,47,Yes
54,117419,526,14,1,25,No
27,128730,453,8,29,10,Yes
27,63001,768,16,16,14,No
36,87364,704,11,8,42,Yes
34,144988,501,6,27,46,No
38,65028,337,9,30,30,No
31,127434,487,9,27,41,Yes
26,117659,356,12,1,25,No
63,57573,319,18,28,14,No
18,20806,572,10,23,35,No
62,144343,418,12,14,48,Yes
30,76638,815,20,15,34,Yes
21,148301,520,7,24,10,No
18,146295,825,7,3,35,Yes
57,126506,814,3,7,11,No
49,49757,635,14,8,11,No
51,54636,354,10,25,21,No
45,100097,799,10,25,21,Yes
48,68280,835,0,4,22,No
25,44262,461,16,15,45,No
56,100435,458,14,12,7,No
43,82211,487,19,29,17,Yes
51,74842,359,5,6,2,No
20,148583,618,14,25,12,Yes
29,76979,510,8,19,42,No
18,134524,705,13,16,18,Yes
61,101470,408,17,2,11,No
22,58197,375,16,4,16,No
47,61844,841,17,18,49,Yes
47,84754,613,4,11,18,No
34,121868,416,19,28,35,No
65,54157,318,19,26,26,Yes
64,97129,731,8,6,16,No
40,60042,649,10,27,6,No
32,81665,482,0,8,44,No
54,135512,412,17,30,43,Yes
38,136953,482,5,27,47,Yes
31,102856,780,1,5,47,Yes
19,47376,445,14,28,48,Yes
28,129049,412,20,25,42,No
56,75554,775,13,16,12,No
55,34199,602,4,15,13,No
51,138533,417,5,22,4,No
55,101412,460,5,30,39,Yes
51,70948,700,17,2,2,No
35,93781,497,13,20,26,No
47,92750,559,9,25,27,Yes
32,86262,346,13,3,27,No
44,137424,698,12,9,15,Yes
51,66600,377,2,4,8,No
55,96898,423,5,20,7,No
50,82483,374,7,21,47,Yes
41,38297,436,11,29,46,Yes
32,50448,699,12,9,40,No
47,46172,804,10,11,12,Yes
59,62874,799,11,9,13,Yes
34,27657,437,0,28,43,No
22,104386,349,16,12,17,No
46,145617,553,15,10,17,No
21,45425,725,10,21,36,Yes
27,46685,846,12,15,21,Yes
34,142000,601,17,7,8,Yes
27,132855,648,10,7,5,No
34,44578,348,11,26,26,No
37,48831,373,5,24,16,Yes
41,27906,560,8,7,36,No
22,81413,655,15,12,28,Yes
51,74028,559,3,26,29,Yes
23,27287,594,2,1,47,No
19,53660,612,15,29,12,Yes
30,95758,481,11,29,37,No
60,80504,663,10,11,30,Yes
60,79720,487,4,9,23,No
65,122979,842,17,11,16,Yes
28,54701,847,18,10,14,Yes
64,103300,707,5,14,10,Yes
40,130177,713,17,15,7,No
33,37674,641,5,16,45,Yes
48,103560,519,3,25,37,Yes
28,131543,462,11,1,29,No
33,43874,519,18,17,3,No
25,63642,569,1,11,15,No
21,143867,699,16,18,36,Yes
57,117820,481,10,25,47,Yes
21,85160,504,10,22,46,No
42,37602,527,20,17,19,No
20,123320,549,15,29,13,Yes
49,108801,740,1,16,42,Yes
20,45931,832,1,29,21,Yes
44,114377,495,7,5,37,No
46,49192,818,12,24,27,Yes
49,66542,369,9,14,29,No
36,147015,698,7,2,20,Yes
38,62520,502,3,5,25,No
22,84772,447,14,2,6,No
35,78762,771,0,29,36,Yes
45,70106,498,10,28,2,Yes
59,101121,725,6,0,22,No
39,45559,791,16,29,32,No
38,125595,441,19,12,16,Yes
23,53742,612,17,27,18,Yes
18,89669,464,11,20,5,No
