Age,Monthly_Charges,Total_Charges,Tenure_Months,Number_of_Services,Support_Calls,Contract_Length,Payment_Delay_Days,Churn
43,145.66,839.86,27,2,0,24,28,Yes
42,78.79,664.29,12,3,5,24,18,No
62,38.56,3543.44,17,2,2,36,1,No
58,70.63,2359.95,37,1,2,24,15,Yes
46,143.72,8223.99,34,2,6,12,26,Yes
32,61.56,8525.65,36,5,1,36,29,No
62,132.85,2956.88,6,2,8,36,4,Yes
18,134.56,3593.63,32,1,8,24,30,Yes
42,65.52,2744.35,22,4,6,12,27,Yes
24,30.82,9129.63,10,5,8,36,24,Yes
26,114.19,5275.17,29,6,10,1,16,Yes
41,60.5,6733.3,11,3,5,24,5,No
18,121.78,4447.08,66,3,8,36,23,Yes
61,77.55,6494.63,56,2,9,24,6,Yes
25,83.08,4165.63,58,3,1,1,5,No
41,121.13,3726.95,52,7,4,24,2,Yes
28,69.71,6527.56,61,1,10,24,24,Yes
68,77.61,6115.09,17,6,5,12,20,Yes
34,68.9,3288.52,30,7,5,12,14,Yes
25,67.75,1918.81,72,3,10,1,27,Yes
52,88.37,4001.48,37,7,3,12,15,No
52,125.14,4444.38,5,2,3,36,16,Yes
50,67.03,6472.5,26,3,4,12,8,No
22,88.15,9188.02,70,7,5,36,25,No
59,107.19,843.76,1,4,7,1,8,Yes
56,55.03,2814.78,9,4,9,1,16,Yes
58,56.08,2340.3,71,3,0,24,28,No
45,141.34,5271.8,64,5,7,36,6,Yes
24,114.06,4582.16,24,6,1,24,24,Yes
26,95.03,7425.86,5,3,10,24,1,Yes
25,104.2,2802.95,51,4,6,24,25,Yes
29,23.81,6147.73,38,4,3,36,5,No
51,100.35,8896.64,29,1,7,12,9,Yes
50,86.24,9151.44,46,2,5,36,16,No
65,90.95,9608.45,52,1,4,12,13,No
40,66.73,7845.98,46,5,9,36,2,No
41,30.59,9106.89,68,2,9,1,26,No
54,45.13,2728.04,59,3,4,1,15,Yes
52,143.6,2377.02,10,3,3,12,15,Yes
61,73.13,561.64,4,5,2,24,4,Yes
57,80.67,7215.02,52,6,2,24,15,No
39,26.85,9405.94,18,4,2,24,22,Yes
44,24.88,2275.89,51,6,6,24,26,No
52,113.23,6550.96,23,3,7,36,4,Yes
18,89.95,7591.37,25,1,7,1,23,Yes
52,86.13,9312.34,60,4,1,36,4,No
54,51.61,6645.17,37,3,2,36,5,No
64,116.82,9717.79,68,4,1,36,17,No
31,41.87,3774.39,18,6,5,12,11,No
20,44.69,3824.32,29,2,10,1,20,Yes
18,79.89,5658.62,30,3,2,12,6,Yes
22,57.22,4143.27,7,3,5,24,16,Yes
43,52.17,513.54,41,4,3,1,9,No
31,103.88,7451.83,37,2,9,12,8,Yes
56,104.63,7641.31,27,1,9,12,8,Yes
44,127.19,7596.26,21,2,5,36,23,Yes
26,74.3,3777.7,43,1,2,12,10,No
32,29.5,5461.75,51,7,4,12,24,No
32,55.58,3919.75,71,7,7,24,13,No
43,147.4,652.35,13,5,2,24,4,Yes
59,97.51,5843.26,53,6,8,12,6,No
30,112.27,1675.73,63,2,8,12,16,No
68,20.96,1260.39,57,1,6,12,22,No
49,87.37,7677.24,25,4,7,36,8,No
56,24.88,590.31,13,1,8,36,18,Yes
66,94.0,9610.58,37,5,0,36,24,No
69,139.7,5394.93,30,1,6,24,20,Yes
49,145.89,9838.66,12,6,9,1,12,Yes
21,90.27,1050.98,65,7,2,36,8,No
47,79.57,6043.53,18,2,5,36,12,Yes
54,142.85,3818.61,62,1,8,12,13,Yes
40,107.57,8513.08,24,2,9,36,7,No
56,28.44,3931.62,60,5,10,1,13,No
62,80.54,2974.63,17,1,7,24,12,Yes
32,51.23,8646.75,60,1,1,36,26,No
60,81.07,4059.2,9,5,3,24,22,Yes
46,79.21,659.92,52,6,10,36,9,No
53,95.68,4207.75,15,1,4,24,21,Yes
30,66.38,6717.96,28,2,9,24,1,Yes
49,41.36,2916.42,9,6,5,36,11,No
24,85.48,4603.88,56,3,6,36,15,No
68,127.93,1038.79,36,6,10,24,6,Yes
39,106.32,6086.88,56,7,3,1,1,Yes
45,63.99,7684.8,71,3,3,1,15,No
19,141.62,4426.47,20,7,4,1,21,Yes
59,138.59,4492.21,55,2,8,1,5,Yes
62,47.22,1338.68,60,7,8,36,15,No
23,25.12,2418.44,35,1,0,12,24,Yes
45,116.37,1969.42,1,2,4,24,12,Yes
45,127.59,5076.03,45,5,4,1,9,No
61,145.82,5527.93,69,2,6,1,26,No
61,135.68,9514.93,40,3,7,12,19,Yes
37,98.07,1195.7,38,7,2,12,8,No
47,88.91,6198.75,24,6,0,36,1,No
28,23.62,5501.74,4,7,1,24,20,No
45,52.07,5404.21,69,4,5,24,15,No
42,79.75,8795.01,13,5,10,12,2,Yes
56,101.71,2452.62,21,1,5,12,21,Yes
50,92.44,887.35,32,7,10,12,1,No
18,116.54,6886.58,38,6,4,36,28,No
44,56.37,3779.0,32,2,10,24,9,Yes
69,93.44,667.1,57,5,4,12,24,Yes
30,31.46,2888.05,48,3,8,1,19,Yes
58,73.78,3438.6,30,7,10,24,22,Yes
20,117.52,6359.96,71,1,6,24,4,No
56,110.14,2139.57,38,2,5,1,7,Yes
23,148.78,4424.02,44,7,10,1,11,Yes
25,56.13,5083.52,26,6,6,24,3,No
44,84.76,4862.76,2,2,2,24,13,No
26,62.84,9752.44,43,1,6,12,22,Yes
54,77.28,932.29,43,6,2,36,26,No
50,131.4,9534.2,63,4,7,36,14,Yes
68,108.95,6028.4,58,4,9,12,20,Yes
59,134.72,8059.41,48,5,9,1,2,Yes
61,46.46,4588.73,5,7,8,1,23,Yes
41,133.54,4811.46,35,2,2,1,21,Yes
32,27.77,8853.6,16,5,6,1,14,Yes
49,135.52,9011.38,49,1,7,12,3,Yes
49,62.78,2767.54,60,6,2,24,14,No
41,60.9,2392.8,51,5,5,12,24,Yes
58,86.57,5214.23,59,7,6,1,8,No
69,142.29,9052.63,64,2,3,12,17,Yes
66,26.21,3562.37,13,7,5,36,25,Yes
66,65.79,6694.14,26,4,6,36,12,Yes
69,131.35,7227.44,70,4,6,1,30,Yes
29,71.49,7897.41,3,1,10,12,8,Yes
56,45.89,5857.28,12,3,0,36,3,No
19,75.22,4323.32,41,5,1,24,24,No
20,70.12,9686.65,65,1,10,1,12,Yes
66,139.0,6307.64,63,4,10,12,9,Yes
54,119.05,7421.37,50,7,0,1,7,No
66,85.67,3777.34,47,2,8,36,13,Yes
34,148.49,6864.52,8,2,6,24,15,Yes
66,80.49,2949.08,31,6,10,36,25,Yes
19,27.57,2828.42,11,3,6,1,29,Yes
19,54.1,7289.86,17,3,2,24,18,Yes
45,76.69,5453.25,27,4,4,12,29,Yes
40,40.4,6991.13,27,3,1,36,25,Yes
54,143.18,3059.67,56,3,4,24,6,No
49,119.69,6187.87,69,2,7,1,11,Yes
50,54.88,4717.37,47,6,9,12,30,Yes
18,96.8,6171.12,19,5,2,1,12,Yes
36,113.79,3263.36,57,7,3,1,14,Yes
19,142.37,7296.78,31,2,7,12,14,Yes
61,134.61,8156.33,16,6,1,24,17,Yes
43,86.97,2969.21,45,2,0,24,1,No
49,120.7,3355.9,27,4,2,12,13,Yes
23,93.08,6780.97,61,6,1,12,19,Yes
49,91.85,7108.06,26,6,9,1,25,Yes
21,34.92,7188.95,29,4,1,1,6,No
28,36.4,6985.64,44,6,3,36,19,No
34,88.84,4231.67,29,7,5,12,1,No
55,54.95,4251.11,2,5,9,36,27,Yes
41,22.73,2920.77,6,1,9,12,1,Yes
22,113.97,1989.92,9,3,4,36,4,Yes
69,24.22,7079.49,15,6,3,1,2,No
51,97.39,1385.29,58,3,7,1,2,No
23,90.1,9409.03,2,2,10,24,30,Yes
39,145.95,8353.52,3,2,4,36,0,Yes
28,82.95,8646.3,52,6,1,12,18,No
65,28.27,9113.35,55,6,3,36,30,No
33,91.72,4381.75,53,6,6,1,19,Yes
50,129.34,8543.66,72,7,3,24,11,No
26,149.59,2001.58,40,7,5,36,21,No
23,75.94,705.6,39,5,1,1,26,Yes
33,61.64,7956.47,43,6,8,12,5,No
46,137.86,1210.57,13,7,3,24,27,Yes
20,44.86,9890.98,37,3,0,1,20,No
37,100.01,6910.57,55,2,2,12,19,No
53,72.74,7657.77,32,2,6,36,5,Yes
36,25.34,2835.14,14,7,9,12,12,Yes
43,65.15,6901.72,65,6,8,12,28,No
20,54.48,910.59,27,4,5,12,20,No
36,109.19,8459.34,24,7,3,24,9,No
37,143.34,2111.43,22,1,1,1,0,Yes
49,54.85,7124.9,45,6,8,1,15,Yes
24,125.49,2632.56,8,5,7,12,13,Yes
69,27.2,1150.31,67,1,6,36,27,No
58,89.96,5074.19,64,1,1,36,17,No
50,29.17,2108.22,47,6,1,1,13,No
57,141.42,7429.72,21,5,7,36,24,Yes
56,119.63,2756.88,32,7,8,12,9,Yes
35,105.53,3753.49,45,3,8,1,19,Yes
57,127.11,5890.67,44,6,7,1,21,Yes
18,104.18,3207.2,41,2,0,36,4,No
28,145.96,4090.89,52,5,4,1,1,Yes
45,112.81,8248.41,11,2,6,24,16,Yes
42,140.21,2202.49,18,7,9,12,0,Yes
67,87.23,1280.92,11,7,5,24,0,Yes
40,35.22,3619.4,27,7,10,1,5,No
48,88.66,4531.58,43,6,0,36,25,No
47,36.49,5655.26,65,7,9,24,6,No
59,97.02,4038.03,54,6,5,24,6,No
52,82.72,8004.16,29,4,3,24,30,No
24,100.93,873.54,21,1,2,36,24,No
33,21.31,4601.79,29,4,3,36,15,No
43,45.33,4131.43,9,7,7,1,18,Yes
65,83.87,6652.0,61,1,10,36,29,Yes
69,143.57,9679.62,62,7,5,24,8,Yes
66,69.87,5348.57,71,7,8,1,0,No
19,75.17,9875.33,5,3,4,36,17,Yes
18,112.91,3371.37,15,5,10,12,30,Yes
65,98.49,793.25,57,3,8,36,6,No
29,58.86,2073.8,5,1,3,36,27,Yes
22,73.41,4253.69,20,6,3,1,17,No
54,48.3,3505.17,4,7,5,1,9,Yes
49,145.58,1422.01,56,4,9,1,26,Yes
26,36.98,4610.27,34,7,10,12,19,No
58,68.34,3712.1,40,1,6,12,1,Yes
52,23.36,1664.88,69,7,1,36,10,No
36,48.83,3313.11,68,6,3,36,17,No
65,121.46,8921.14,22,3,7,1,10,Yes
33,46.15,3369.46,14,6,8,1,13,Yes
20,30.41,7282.58,68,6,4,12,12,No
37,81.68,6314.45,8,3,5,12,0,No
41,21.3,4558.22,67,4,9,1,24,No
50,31.02,2770.74,46,7,6,36,9,No
41,124.99,4005.64,29,6,6,12,14,Yes
69,120.29,6125.02,12,4,2,1,18,Yes
28,138.97,3832.16,52,6,1,1,30,Yes
66,131.09,2541.52,58,6,9,1,28,Yes
25,108.81,1606.4,2,3,7,12,16,Yes
53,26.8,8857.79,1,1,8,36,30,Yes
55,121.77,4682.97,55,7,10,12,9,Yes
57,129.92,6439.48,34,1,7,36,21,Yes
37,123.88,5158.9,64,5,7,12,7,Yes
52,86.1,8789.38,68,3,1,1,22,Yes
65,50.28,5695.88,12,5,10,1,6,Yes
42,129.89,5067.42,50,6,3,24,17,Yes
52,114.53,9283.71,21,3,5,1,26,Yes
42,147.5,7337.05,10,5,7,36,3,Yes
46,40.24,1559.72,70,2,1,1,5,No
35,49.34,2188.19,14,1,7,24,1,No
63,47.53,7977.67,40,1,0,1,12,No
35,123.03,8440.59,30,2,10,1,20,Yes
19,44.3,5679.31,14,4,5,12,11,No
52,28.67,5767.32,52,2,7,36,4,No
33,149.81,6503.36,17,7,7,24,18,Yes
58,23.23,4671.6,62,1,10,12,1,No
53,128.58,6961.89,22,7,6,24,10,Yes
50,67.5,1530.57,53,3,6,1,22,No
21,129.41,9632.15,32,5,10,24,7,Yes
50,92.1,7626.47,55,1,9,12,3,Yes
31,137.21,6496.15,22,7,10,1,3,Yes
38,140.41,3505.06,38,2,8,12,10,Yes
65,21.18,2029.08,50,3,1,36,13,No
37,29.8,4388.76,66,1,0,36,8,No
25,52.55,6784.98,45,2,1,36,19,No
24,107.01,6520.24,8,7,2,24,25,Yes
20,135.48,4135.09,65,1,8,36,13,Yes
34,79.79,6326.22,40,2,9,24,27,Yes
50,98.91,8230.61,5,6,6,24,2,No
65,44.5,749.71,45,2,4,12,26,No
29,124.65,4780.9,46,1,4,1,12,No
68,145.75,7706.27,36,3,5,1,13,Yes
39,54.92,5688.37,17,1,1,12,16,No
39,84.33,6689.02,41,1,0,36,2,No
63,31.2,5408.43,30,6,10,12,14,No
47,92.69,9922.81,52,3,0,12,20,No
55,85.36,1018.9,20,6,2,1,28,Yes
55,38.78,5164.93,36,1,0,24,1,No
62,77.47,1368.46,66,6,8,12,20,Yes
68,63.43,2017.96,45,5,9,12,24,Yes
25,87.84,4138.86,4,5,4,24,9,Yes
44,96.14,1977.63,50,5,8,1,26,Yes
44,21.1,9655.03,55,2,4,36,21,No
51,118.93,9494.5,59,4,0,12,14,No
38,112.69,3693.04,42,7,10,36,18,Yes
47,67.62,6577.6,2,6,6,36,20,Yes
50,26.88,5570.66,46,1,6,12,11,No
45,118.14,8248.08,2,4,3,36,16,Yes
64,144.17,6460.73,50,6,2,12,15,Yes
50,51.22,502.4,1,5,0,24,7,No
22,62.06,7750.16,13,7,6,24,24,Yes
65,43.9,7595.06,70,3,4,24,4,No
36,95.0,5342.37,22,5,9,24,24,Yes
21,40.13,9077.73,17,7,0,1,23,Yes
52,66.31,9130.24,59,1,0,24,14,No
66,110.61,5477.16,70,4,2,12,7,No
34,92.82,6275.89,3,4,2,12,17,Yes
61,70.24,9966.96,70,6,1,12,20,No
45,74.63,3338.79,49,2,7,36,27,Yes
47,93.07,3583.86,50,3,7,12,7,Yes
46,20.76,2236.35,35,7,5,1,18,No
63,30.21,9010.74,23,5,4,1,16,Yes
23,134.56,7572.64,72,7,5,1,29,Yes
52,30.12,1503.61,7,7,0,1,26,Yes
58,111.88,9826.79,50,3,1,1,3,No
54,139.6,7444.14,10,1,6,1,3,Yes
41,55.19,8579.96,55,2,0,24,25,No
46,68.16,957.43,19,5,7,1,19,Yes
66,93.96,5297.13,23,1,2,36,19,No
63,134.62,7136.68,64,3,3,1,8,No
48,142.45,5657.99,33,2,6,12,26,Yes
52,116.14,6833.15,66,5,9,12,13,Yes
50,31.26,8269.8,9,3,6,36,0,No
69,106.99,4056.2,29,5,1,1,8,Yes
38,73.34,8562.35,18,7,4,24,22,Yes
49,81.19,2047.7,71,2,7,24,12,No
40,26.39,3073.42,29,2,8,24,29,Yes
50,44.84,911.78,61,3,4,24,20,No
20,122.77,3962.05,5,5,1,1,17,Yes
35,79.01,4109.14,69,4,3,36,29,No
42,59.22,8150.07,56,1,10,24,9,No
59,69.92,6704.74,52,2,4,1,27,No
48,131.07,4648.86,15,5,5,1,25,Yes
20,117.37,6695.08,20,3,5,1,30,Yes
57,55.4,1001.44,16,7,0,1,25,Yes
63,35.28,2212.58,25,3,5,1,3,Yes
41,52.76,6456.0,57,2,10,12,26,Yes
67,139.7,6592.98,21,6,9,1,14,Yes
49,95.61,7854.28,5,2,0,1,3,Yes
64,89.35,4328.5,9,7,4,1,19,Yes
39,97.53,7364.26,11,6,10,12,10,Yes
40,67.58,6997.81,65,4,6,12,11,Yes
19,124.92,9652.24,63,3,7,36,12,Yes
44,88.03,2543.74,26,5,10,36,1,Yes
59,35.18,5740.96,19,6,10,1,7,No
19,36.78,6216.76,16,1,4,24,3,Yes
43,89.79,9987.15,56,1,1,1,8,No
34,141.75,2411.25,68,4,2,36,1,No
57,60.09,5470.57,30,6,6,24,22,Yes
50,133.04,3788.76,7,6,9,24,4,Yes
26,119.33,5495.98,12,5,3,36,4,Yes
60,52.22,2705.22,24,1,0,1,22,Yes
65,24.72,952.32,22,1,2,36,30,No
56,33.24,5939.37,47,7,9,24,3,Yes
46,114.7,3690.62,30,5,1,12,18,Yes
59,45.96,2228.44,60,7,8,1,8,No
43,68.27,3577.39,39,6,0,36,11,No
52,85.22,968.16,20,5,8,36,2,Yes
67,114.31,9529.2,26,2,9,36,4,No
42,34.72,6020.91,49,1,4,12,1,No
41,72.83,8240.3,69,6,5,12,22,Yes
30,83.06,4519.62,42,1,5,1,12,Yes
24,90.31,9081.49,6,7,5,1,27,Yes
53,126.39,5091.52,53,4,8,1,26,Yes
62,42.32,5952.48,34,2,8,36,6,Yes
37,125.02,5172.04,69,2,10,12,27,Yes
18,110.07,7466.14,10,1,9,1,20,Yes
25,92.26,5883.23,28,3,6,12,7,Yes
63,110.94,3080.19,3,3,2,24,24,Yes
33,73.56,1882.63,48,7,6,1,28,Yes
31,37.99,6258.18,66,5,4,12,19,No
29,106.55,5147.21,35,2,8,1,10,No
68,88.21,1411.77,52,1,7,12,11,No
40,103.12,4258.37,62,7,9,12,17,Yes
32,63.94,5390.38,52,7,5,36,17,No
45,137.89,8355.49,47,6,4,24,26,No
51,96.36,1222.96,54,1,9,1,30,Yes
19,31.1,3810.71,28,1,1,12,28,No
49,78.47,8315.23,23,7,10,1,15,Yes
40,118.33,6660.03,35,6,2,12,19,Yes
39,123.24,3254.6,32,6,10,24,21,Yes
68,84.3,8530.68,2,4,10,12,5,Yes
42,136.32,5186.29,16,3,2,12,17,Yes
39,54.8,5234.34,16,4,3,1,16,Yes
39,73.38,9777.58,51,1,2,24,17,No
66,136.82,9497.61,67,1,6,12,23,Yes
69,136.51,3906.06,54,2,5,1,20,Yes
59,109.14,1835.5,20,2,7,12,2,Yes
23,131.67,3593.83,33,3,1,1,8,Yes
32,31.54,789.59,8,6,1,24,27,Yes
60,132.45,697.29,24,5,0,36,27,Yes
54,61.68,4257.46,53,1,4,24,6,No
50,43.18,9439.69,64,2,6,1,23,Yes
25,51.12,8777.89,58,3,8,24,21,Yes
61,74.34,5358.71,37,4,4,1,6,No
61,52.65,5869.65,12,1,10,1,30,Yes
22,61.67,556.37,4,5,10,24,18,Yes
56,37.55,2547.26,31,3,0,36,0,No
21,58.5,735.35,38,6,2,24,0,No
23,94.4,7668.13,37,5,7,1,0,No
62,77.44,1883.64,14,1,2,36,10,No
49,65.07,8755.95,24,3,6,1,26,Yes
69,117.04,6611.58,10,6,9,36,27,Yes
47,136.16,2679.48,38,7,2,24,22,Yes
64,118.38,1998.34,43,7,1,24,17,Yes
52,63.16,6462.43,37,2,9,1,12,No
57,116.78,9057.95,42,5,5,36,27,Yes
69,39.76,7324.42,32,4,1,1,21,No
33,36.94,3811.19,14,4,9,36,29,Yes
30,64.93,6080.14,4,7,4,1,29,Yes
67,125.0,3452.24,24,5,4,24,14,Yes
59,52.03,9991.92,10,1,4,12,16,Yes
47,28.22,7613.97,16,1,5,1,9,No
36,37.12,6336.63,39,1,2,12,7,No
34,131.64,4520.96,18,7,9,24,20,Yes
36,102.39,6372.45,25,4,4,12,8,Yes
45,52.92,3745.35,7,4,7,36,18,Yes
43,92.19,774.22,56,2,3,12,17,No
54,88.59,4253.34,47,1,4,1,7,Yes
43,105.21,9339.57,3,4,0,12,26,Yes
40,50.31,6449.86,1,4,0,36,4,Yes
26,132.37,1297.58,33,1,7,24,13,Yes
29,60.22,8907.44,71,1,1,36,12,No
18,110.24,3054.31,59,4,9,1,0,Yes
18,22.1,2815.81,72,6,9,36,10,No
64,68.45,3322.36,32,5,6,12,11,Yes
51,65.72,5983.42,17,4,6,12,5,Yes
49,90.65,5674.54,17,2,10,36,30,Yes
65,29.46,5168.43,21,3,8,12,11,Yes
42,122.72,7316.6,55,6,0,12,2,No
57,48.31,3507.11,6,1,1,1,7,No
62,108.01,7929.61,49,7,0,1,28,Yes
18,124.42,2165.56,26,2,0,1,21,No
33,93.04,7934.9,32,5,10,24,1,Yes
56,116.31,6806.2,72,7,3,24,5,No
22,106.04,6990.48,44,3,7,1,2,Yes
39,66.22,5074.76,59,6,9,36,6,No
46,125.15,6836.51,29,4,7,36,15,Yes
20,58.31,1258.07,17,1,10,36,30,Yes
29,94.26,8589.74,18,4,8,1,16,Yes
43,116.9,1027.7,40,2,1,24,11,No
33,69.26,1913.04,63,7,6,12,14,No
68,59.36,5979.5,45,7,3,36,13,No
54,79.71,7524.41,3,1,2,1,0,Yes
39,126.34,1224.39,3,4,3,1,25,Yes
46,140.89,9247.27,38,7,3,12,11,Yes
31,90.86,9749.27,40,1,2,24,19,No
45,105.99,6256.53,68,2,8,24,22,Yes
22,137.43,5071.81,54,4,7,1,19,Yes
64,32.81,7543.25,20,3,9,12,13,Yes
66,50.17,3619.39,15,7,1,24,15,No
47,112.16,5186.01,5,5,2,12,24,Yes
63,127.09,9203.43,39,4,9,12,14,Yes
69,131.41,9578.73,40,1,6,1,7,Yes
22,73.96,9307.16,7,6,4,12,20,Yes
29,31.61,2993.26,72,4,0,12,30,No
33,76.91,2708.46,33,1,0,12,0,No
43,50.0,3327.81,37,7,7,36,12,No
43,57.86,4692.46,32,6,5,12,29,Yes
65,120.39,3484.59,43,2,3,12,2,Yes
38,29.82,4055.02,63,6,2,1,23,No
56,127.59,6396.05,36,5,8,24,11,Yes
53,75.6,7743.99,49,1,8,24,30,Yes
50,97.49,7487.8,25,4,3,12,6,Yes
47,31.65,8237.02,66,7,10,1,7,No
54,63.86,805.75,9,6,7,1,16,Yes
40,31.66,953.47,18,2,3,12,17,Yes
27,145.0,7999.14,22,6,7,12,9,Yes
22,124.94,5564.25,15,3,6,24,14,Yes
53,79.75,5992.34,7,4,5,24,22,Yes
51,49.07,999.58,13,5,6,24,20,Yes
69,141.35,2925.48,36,2,5,12,20,No
48,64.8,6564.37,16,4,10,24,27,Yes
27,40.93,8662.23,41,1,5,1,28,Yes
36,93.21,9211.34,21,1,6,36,9,Yes
49,142.69,5253.99,28,1,3,36,8,Yes
18,20.5,5682.01,17,4,4,36,0,No
22,50.96,8413.97,65,5,8,1,20,Yes
62,142.0,5607.43,13,1,1,36,22,Yes
21,42.24,5410.16,36,4,8,12,4,Yes
33,34.72,9098.3,58,4,4,12,14,No
41,94.12,8004.36,20,7,9,36,13,No
33,132.04,9136.19,52,5,0,36,25,No
19,82.02,2573.35,6,2,10,24,10,Yes
66,149.29,5481.57,23,2,6,1,22,Yes
45,108.29,8503.49,42,4,4,24,16,No
49,29.63,1555.9,24,2,2,1,20,No
44,149.07,8049.29,5,3,2,24,13,Yes
37,73.03,2238.25,32,5,0,12,29,Yes
41,57.36,8177.13,46,4,6,1,5,Yes
29,92.52,6314.01,17,2,1,36,21,Yes
67,59.56,2335.74,27,6,7,1,3,Yes
52,31.24,4996.86,68,2,3,1,12,No
50,20.19,6978.1,23,5,3,24,20,No
50,78.45,6521.6,34,6,10,36,23,Yes
68,128.79,4558.85,21,1,4,24,21,Yes
60,94.4,9043.98,22,2,8,36,16,Yes
54,149.9,5433.0,65,6,6,24,20,Yes
29,57.29,5305.74,32,5,2,36,30,No
20,56.46,1091.38,62,6,3,1,11,Yes
18,40.77,9260.14,28,7,8,12,22,Yes
50,41.33,2182.61,7,1,0,36,11,No
57,57.07,5519.27,54,6,7,24,23,Yes
27,123.07,8133.89,70,7,7,1,29,Yes
60,137.75,2546.81,14,4,6,24,3,No
61,146.76,5510.05,55,7,5,1,1,No
46,50.2,2786.51,58,1,6,1,19,Yes
