Age,Monthly_Charges,Total_Charges,Tenure_Months,Number_of_Services,Support_Calls,Contract_Length,Payment_Delay_Days,Churn
62,116.68,5021.11,61,6,7,1,14,Yes
59,131.07,649.37,67,4,7,24,12,Yes
66,99.58,2823.18,40,6,4,36,23,Yes
45,105.54,11471.59,29,5,8,36,1,Yes
67,121.92,12667.98,5,3,0,24,1,Yes
40,75.02,9034.12,62,5,0,36,24,No
21,38.01,4862.65,7,4,4,1,16,No
21,58.22,10936.29,33,7,1,12,24,No
29,83.83,14563.07,29,6,6,36,13,Yes
39,112.25,14588.94,72,3,4,1,24,Yes
43,68.05,1767.27,12,1,1,36,2,Yes
57,50.74,10356.47,28,2,5,24,7,No
59,74.76,14039.78,45,3,5,12,12,No
52,124.8,1179.08,53,1,5,36,12,Yes
21,101.46,12036.09,11,3,0,24,30,Yes
29,81.98,819.51,34,1,0,36,24,Yes
21,55.33,6302.72,43,1,3,24,30,No
69,54.11,9582.32,41,6,1,12,26,No
48,51.5,2123.6,7,2,8,36,25,No
24,97.18,6435.82,15,3,9,1,12,Yes
27,35.99,8026.74,42,4,8,1,6,No
41,124.93,11748.6,35,5,1,36,20,Yes
32,82.42,4417.01,57,2,6,12,29,Yes
56,144.86,4400.73,63,5,2,1,9,Yes
37,51.6,11469.75,23,3,10,1,28,Yes
24,108.01,3791.34,70,6,8,1,6,Yes
30,69.03,3061.07,71,5,10,1,11,No
45,147.55,3128.16,8,7,1,36,2,Yes
56,101.89,11770.53,26,7,8,1,20,Yes
35,109.37,12188.29,23,7,2,12,22,Yes
64,38.39,6218.84,7,7,2,36,6,No
28,67.2,2680.38,17,3,3,24,0,No
53,112.89,4428.21,46,4,9,12,30,Yes
53,63.13,12490.99,35,3,0,12,9,No
19,120.87,6240.3,10,5,9,1,30,Yes
65,115.18,5305.97,4,6,0,1,14,Yes
63,32.43,1939.06,39,6,3,36,4,No
34,35.92,5212.96,34,1,2,24,17,No
23,36.24,11795.91,18,7,0,12,17,No
58,24.21,2801.76,35,7,2,12,15,No
63,62.54,12412.34,14,6,6,24,12,Yes
40,108.27,3549.97,24,1,4,36,4,Yes
64,84.84,5385.46,60,2,2,36,21,No
33,37.49,8787.01,29,2,3,12,27,No
58,91.9,3775.68,57,3,3,24,30,Yes
43,137.41,6838.39,40,6,4,12,23,Yes
63,25.14,8045.23,29,4,0,1,11,No
67,74.78,3446.99,22,1,6,24,5,Yes
18,42.35,934.44,32,6,10,36,20,No
53,24.65,7440.84,24,5,1,1,29,No
47,25.71,10598.25,10,1,10,36,11,No
19,89.07,6356.65,55,7,6,24,12,Yes
37,88.01,14433.9,19,5,6,12,23,Yes
22,56.84,3686.69,37,5,4,24,28,No
48,106.9,9525.97,56,1,10,1,17,Yes
25,55.9,3158.99,34,2,6,36,24,No
47,62.32,4139.54,54,4,4,1,15,No
56,20.25,7184.34,66,3,3,24,10,No
19,35.6,1661.25,12,3,7,1,30,No
30,73.23,10086.15,40,5,6,24,24,No
21,80.52,10104.5,28,3,3,12,24,Yes
62,44.82,1514.76,72,3,4,36,28,No
69,121.85,8184.58,42,7,10,24,5,Yes
25,90.65,8999.91,38,2,2,12,4,No
56,110.54,14753.46,10,6,0,12,3,Yes
42,61.6,5375.83,72,7,3,24,14,No
24,94.42,1859.36,50,1,6,36,30,Yes
31,46.02,2971.09,55,5,10,12,18,No
46,68.94,13760.32,37,7,9,36,6,No
62,95.14,14502.85,34,7,3,24,25,Yes
38,56.31,9011.95,66,4,0,24,5,No
54,49.35,6393.83,45,4,1,12,25,No
66,86.48,3980.47,35,1,7,36,0,Yes
50,101.39,7670.25,18,2,5,12,3,Yes
58,119.81,8760.77,71,5,6,12,11,Yes
42,120.6,2130.25,49,1,0,1,7,Yes
63,44.01,12299.31,11,3,4,36,18,No
31,28.11,1774.39,30,5,6,24,27,No
26,99.91,14665.05,63,7,9,12,2,Yes
32,143.49,4799.6,16,3,6,36,5,Yes
24,140.3,11462.52,33,5,6,1,10,Yes
19,119.99,9957.61,34,6,1,12,12,Yes
48,48.95,3256.43,28,6,5,36,15,No
24,49.78,14731.41,69,1,1,1,20,No
58,92.58,8468.99,18,1,0,1,6,Yes
28,52.71,1738.41,20,6,7,36,4,No
30,104.6,12389.97,6,4,3,1,24,Yes
30,127.67,11135.4,37,3,10,1,10,Yes
43,57.76,5823.58,32,7,8,24,2,No
60,137.07,10743.04,55,7,7,12,25,Yes
67,75.8,13629.59,5,1,2,24,18,Yes
25,76.91,9405.34,39,7,4,1,12,No
31,106.37,8584.83,55,1,5,24,21,Yes
62,124.94,7014.69,66,1,1,36,7,Yes
19,113.11,9401.67,35,3,0,36,8,Yes
59,89.68,13788.37,52,6,9,12,1,Yes
32,128.52,3785.21,29,7,7,1,13,Yes
41,142.97,13942.07,29,5,8,1,30,Yes
51,141.0,11037.26,30,7,1,24,7,Yes
21,59.49,5585.3,19,4,8,36,29,Yes
35,70.1,12029.73,71,2,4,36,25,No
42,120.43,13219.99,29,1,0,12,4,Yes
64,110.63,10556.14,7,3,4,1,28,Yes
41,110.31,2125.1,63,6,3,1,26,Yes
23,122.89,7260.86,21,4,9,12,14,Yes
51,111.69,8885.51,7,6,10,1,4,Yes
68,55.88,7641.84,71,5,6,1,1,No
55,93.47,7235.12,67,1,2,1,10,Yes
20,64.22,8831.51,27,1,5,1,24,No
36,58.9,1674.18,49,2,5,24,22,No
64,60.4,11661.37,43,2,8,36,6,No
63,71.84,7260.01,10,7,5,24,27,Yes
53,74.96,10617.34,23,3,5,24,27,Yes
36,57.35,2410.29,36,7,3,36,23,No
45,103.66,10464.97,16,1,9,12,19,Yes
64,120.04,9011.89,22,5,5,12,25,Yes
27,92.39,14657.24,10,7,7,24,25,Yes
35,105.89,6449.2,67,6,6,24,3,Yes
21,48.05,12194.98,22,4,1,24,7,No
29,109.48,4373.48,42,7,5,12,23,Yes
44,149.03,10265.4,42,1,10,24,21,Yes
46,65.7,11738.51,31,4,3,12,20,No
29,45.68,3671.06,44,5,4,24,2,No
28,57.89,9783.62,30,3,0,1,24,No
21,49.19,11349.26,71,1,7,36,1,No
63,94.53,583.97,44,4,10,24,17,Yes
41,142.94,10373.54,43,7,7,12,26,Yes
43,27.17,12055.88,47,5,7,12,6,No
45,128.04,6850.12,8,6,6,24,8,Yes
64,66.98,9415.76,2,4,0,1,6,No
21,65.74,13536.99,46,7,7,24,16,Yes
53,68.47,7464.94,56,3,7,36,25,Yes
32,99.08,8867.21,30,4,10,1,23,Yes
39,39.83,5971.95,7,5,10,36,23,No
66,139.41,9559.32,17,4,7,12,19,Yes
41,69.86,13929.14,70,5,4,1,18,Yes
41,113.39,2920.16,69,2,3,12,16,Yes
54,147.57,7949.8,11,2,4,1,3,Yes
22,99.22,4982.15,49,7,2,1,4,Yes
23,128.12,9875.94,58,2,5,12,11,Yes
66,48.29,7243.66,53,1,8,36,27,No
27,34.05,2200.57,26,5,7,12,12,No
20,70.91,8197.11,51,6,3,12,15,No
55,64.47,11006.34,3,3,6,1,3,Yes
51,35.0,5593.18,18,3,1,24,16,No
23,85.38,8462.98,1,3,10,24,5,Yes
27,119.51,9534.56,24,7,6,1,2,Yes
33,48.67,11677.37,43,5,4,1,0,No
46,66.88,6190.1,28,4,2,1,13,No
20,24.79,5404.14,48,4,5,24,30,No
28,80.39,6119.8,9,3,7,12,27,Yes
54,142.93,1041.76,53,1,8,1,23,Yes
21,41.44,7784.51,14,1,0,1,2,No
66,34.84,2855.07,72,1,1,36,28,No
21,36.59,8541.1,29,5,10,1,28,No
41,89.12,10395.75,53,4,4,1,8,Yes
45,67.42,2474.55,68,4,3,36,2,No
52,114.48,4452.64,71,2,7,1,28,Yes
55,127.93,7525.45,15,2,2,12,7,Yes
67,28.32,11647.19,11,1,0,12,7,No
41,146.75,10214.99,29,2,7,12,6,Yes
39,90.9,9469.8,23,4,0,1,5,Yes
43,111.26,8165.5,65,6,4,36,28,Yes
35,136.6,8052.02,72,1,4,12,0,Yes
20,56.87,9161.05,27,7,5,36,0,No
63,79.49,2907.09,42,6,6,36,26,Yes
28,139.23,10397.35,70,4,1,12,14,Yes
26,61.86,7149.33,12,1,4,1,19,No
50,144.25,14675.32,61,2,1,24,28,Yes
43,103.13,12889.3,23,4,2,1,20,Yes
53,104.51,1683.49,57,2,9,1,9,Yes
21,31.84,3669.94,12,4,4,24,9,No
69,69.88,1627.19,67,3,1,12,24,No
19,52.11,5834.08,48,1,9,12,28,No
25,83.25,6149.61,36,4,9,1,15,Yes
24,119.4,2090.34,18,4,1,36,16,Yes
53,114.95,14055.02,15,3,6,1,24,Yes
51,111.91,2729.56,33,6,3,12,7,Yes
57,53.09,10398.74,65,2,4,1,20,No
36,111.04,5754.35,67,7,9,36,19,Yes
46,82.07,7305.45,23,1,2,36,22,Yes
56,83.57,11438.41,29,6,10,1,9,Yes
23,100.82,4793.91,31,2,4,24,23,Yes
27,38.19,12570.21,9,6,4,24,24,No
58,141.08,5016.75,72,5,9,24,23,Yes
59,100.73,4773.99,45,5,7,36,3,Yes
22,66.52,7356.95,6,5,3,12,16,Yes
41,95.17,11973.67,7,1,5,12,22,Yes
58,107.98,8423.44,49,5,10,1,11,Yes
39,132.16,773.95,60,7,3,12,4,Yes
43,86.72,11004.69,46,2,6,12,19,No
68,109.33,10826.66,9,7,4,1,14,Yes
54,60.11,10380.3,47,7,10,1,20,No
62,70.33,5732.0,55,6,5,24,6,No
46,30.02,7422.24,45,1,2,1,16,No
53,104.86,14182.61,32,2,1,12,13,Yes
37,105.37,14672.12,49,4,8,24,20,Yes
35,28.08,11882.02,56,7,6,1,27,No
57,71.97,1167.78,6,2,0,1,14,Yes
62,32.51,14341.92,64,4,4,36,16,No
58,93.3,4373.24,58,1,2,12,5,Yes
32,65.55,4982.88,69,1,0,24,28,No
32,120.22,8981.4,58,1,8,24,30,Yes
41,74.35,1322.84,71,6,5,24,4,No
46,149.25,12865.89,2,1,1,24,27,Yes
34,112.26,4530.99,23,6,6,12,23,Yes
66,53.61,2943.11,7,2,3,36,6,No
64,35.57,11383.67,11,4,8,36,5,No
42,114.31,6472.2,18,7,0,24,22,Yes
33,62.74,5231.19,44,7,2,12,26,No
67,29.54,9707.23,36,5,10,36,5,No
34,95.06,5966.24,30,7,6,12,13,Yes
64,33.38,9164.39,4,2,10,12,22,No
64,52.4,13462.49,59,4,3,1,21,No
38,81.0,13097.79,50,3,2,12,30,Yes
61,120.9,6635.57,49,5,2,12,3,Yes
65,74.53,12386.54,32,7,7,1,22,Yes
44,59.23,11200.21,42,2,0,12,27,No
22,44.51,10540.34,35,4,10,36,22,No
39,68.85,10782.12,13,2,2,36,18,Yes
50,24.87,12211.4,24,5,5,36,4,No
57,67.91,10078.29,48,7,7,1,11,Yes
19,54.93,12226.47,70,3,4,1,28,No
52,34.83,9145.72,27,7,1,36,24,No
60,41.62,5899.21,50,3,1,36,15,No
36,140.88,8442.27,57,7,9,36,3,Yes
57,67.7,11082.68,43,3,4,1,26,No
44,111.19,14913.31,27,4,3,24,7,Yes
57,139.08,5184.61,69,4,7,12,5,Yes
53,36.03,11067.28,24,1,6,36,9,No
56,97.57,4502.84,16,3,8,36,1,Yes
19,137.88,3021.82,34,3,7,12,18,Yes
58,143.35,9313.81,54,1,2,36,22,Yes
35,75.68,4668.77,34,2,10,24,26,Yes
63,72.35,10560.78,7,2,3,12,25,Yes
40,145.88,7233.91,1,1,9,1,22,Yes
43,115.19,3213.61,4,5,6,12,23,Yes
28,132.71,10309.4,59,1,4,24,10,Yes
65,120.64,11241.69,16,2,1,24,17,Yes
18,106.93,11168.47,70,3,10,1,21,Yes
53,72.17,13670.62,23,7,3,12,18,No
67,72.15,10830.45,27,7,6,1,27,Yes
37,109.38,9406.42,19,4,3,1,19,Yes
48,128.05,13921.94,15,1,10,24,12,Yes
25,28.77,6033.93,35,6,3,36,16,No
57,133.39,801.72,28,5,4,12,19,Yes
41,89.15,2853.74,6,4,6,1,18,Yes
37,90.54,1686.44,21,5,3,36,3,Yes
32,121.38,8739.81,71,7,10,1,15,Yes
47,128.37,13250.51,7,2,8,1,12,Yes
37,49.11,6574.95,43,2,4,36,3,No
55,123.87,6070.05,35,6,10,1,1,Yes
19,24.93,773.4,62,3,1,36,30,No
23,112.79,13068.84,67,5,2,1,23,Yes
59,93.23,10209.18,33,4,10,12,10,Yes
35,113.67,1944.34,72,3,6,12,1,Yes
53,129.18,8807.16,28,6,2,12,7,Yes
31,145.31,4533.02,34,4,1,36,5,Yes
43,80.93,14540.72,2,2,6,1,28,Yes
51,87.44,8604.43,29,1,6,36,24,Yes
47,65.22,5484.06,20,1,1,1,15,No
24,56.41,1139.08,61,3,1,12,22,No
47,96.53,7611.43,53,1,3,12,5,Yes
35,67.26,1220.6,14,3,2,12,4,No
39,75.09,3353.24,12,6,6,24,27,Yes
34,33.58,12734.88,17,6,3,12,23,No
48,33.73,5696.99,41,4,1,1,16,No
34,138.75,9478.98,60,5,3,12,12,Yes
48,43.37,859.18,52,4,5,12,23,No
30,127.84,1806.85,2,1,1,36,23,Yes
44,112.94,14749.33,19,1,5,36,15,Yes
37,76.98,13994.49,34,1,6,24,14,Yes
34,47.51,4650.17,45,3,6,24,23,No
46,26.61,7919.97,2,1,2,1,24,No
56,133.3,7390.32,63,5,7,24,4,Yes
52,107.63,11073.33,51,3,6,36,22,Yes
25,43.92,2391.62,63,2,3,12,8,No
60,28.52,3366.12,55,5,7,36,7,No
55,139.57,8373.9,9,3,4,36,1,Yes
32,56.44,11818.16,32,5,7,24,17,No
67,53.99,6393.36,49,2,1,36,28,No
18,100.84,12526.68,42,3,1,36,24,Yes
50,87.84,9464.27,55,5,9,12,28,Yes
20,53.61,7814.25,16,4,3,1,22,Yes
56,47.26,8304.8,4,6,9,1,30,Yes
55,136.87,2239.9,70,6,0,24,13,Yes
65,58.33,4707.7,53,7,7,36,9,No
32,29.24,14487.73,24,5,9,36,2,No
59,101.2,1274.23,22,7,8,36,25,Yes
35,132.04,14505.51,33,6,3,24,6,Yes
55,25.68,8965.01,56,4,8,36,0,No
48,40.99,10276.52,60,5,7,36,28,No
37,48.54,6947.98,17,4,3,1,15,No
24,110.17,3156.04,46,2,8,1,10,Yes
54,57.28,4021.0,28,7,4,1,20,No
44,132.72,13343.82,42,2,0,24,22,Yes
25,50.67,12160.06,30,3,7,12,25,No
31,94.99,7678.33,4,3,4,1,21,Yes
67,26.98,3075.76,68,1,9,1,10,No
32,121.81,9575.12,4,4,5,36,23,Yes
24,148.83,1607.28,26,4,9,24,15,Yes
50,107.86,1316.91,27,1,10,36,23,Yes
69,101.51,967.99,1,4,2,24,14,Yes
51,56.34,11171.9,33,4,10,1,23,No
21,115.62,6919.12,58,4,10,12,9,Yes
18,84.3,10741.19,61,1,6,1,19,Yes
58,46.97,13184.81,17,7,6,36,27,No
31,113.14,3248.38,15,3,2,24,11,Yes
48,93.2,644.19,40,3,1,12,25,Yes
55,140.01,11625.17,43,2,8,24,27,Yes
67,79.27,13888.69,36,5,7,36,4,Yes
37,139.93,3741.17,30,3,9,36,21,Yes
20,123.84,6377.22,1,3,4,1,28,Yes
52,42.16,3864.34,53,3,6,1,9,No
63,95.02,10735.5,66,2,9,12,9,Yes
50,115.76,7991.07,39,6,7,24,2,Yes
32,24.57,2076.81,3,4,9,36,29,No
20,34.65,4292.41,15,6,4,24,7,No
45,137.77,10100.54,13,7,2,36,12,Yes
44,73.65,9562.55,23,2,1,1,0,Yes
64,142.18,5635.05,27,1,0,24,19,Yes
64,56.55,1226.17,60,3,1,12,21,No
50,103.05,11893.4,10,5,2,36,7,Yes
36,77.06,5021.76,53,3,8,36,17,No
50,139.15,2477.34,71,2,2,36,7,Yes
48,116.17,10816.46,14,1,3,24,7,Yes
21,74.93,10425.79,30,1,9,24,24,Yes
49,117.58,13393.45,71,5,0,24,15,Yes
59,118.38,615.4,20,7,10,24,20,Yes
45,21.79,7131.83,61,3,2,24,22,No
33,100.87,6199.23,4,1,5,12,1,Yes
66,27.17,11488.91,41,1,6,36,20,No
60,121.69,14189.9,15,2,5,36,21,Yes
45,21.47,13790.6,55,4,1,36,3,No
32,126.53,9796.06,59,6,7,24,2,Yes
65,107.86,8929.42,53,3,1,12,30,Yes
39,148.13,11172.44,52,7,2,36,25,Yes
48,39.1,2570.67,71,7,6,36,24,No
38,79.66,7075.77,67,2,8,12,8,Yes
49,74.67,7880.61,52,7,0,12,7,No
24,44.41,8398.25,1,4,10,1,0,No
50,72.8,10446.9,9,2,2,36,29,Yes
25,49.12,9534.25,17,2,6,12,21,Yes
31,22.49,1190.01,16,5,10,12,30,No
42,77.1,7548.54,70,6,0,24,0,No
49,67.77,7709.5,2,1,0,24,17,No
45,86.49,2268.69,18,1,3,1,19,Yes
19,76.75,7497.57,43,3,7,1,4,No
34,139.75,10848.49,37,3,3,24,29,Yes
44,53.62,11307.66,26,2,5,1,24,No
19,133.64,770.22,8,7,10,1,25,Yes
25,37.9,4347.19,38,5,4,12,17,No
55,78.96,3481.71,13,5,2,36,30,Yes
37,31.55,9575.72,18,7,4,1,7,No
66,103.0,11239.97,50,7,8,12,27,Yes
54,135.99,5132.33,6,5,0,36,11,Yes
38,99.97,6545.59,43,6,4,1,8,Yes
43,109.58,14711.78,57,1,7,36,15,Yes
48,87.04,14840.61,70,6,1,1,27,Yes
37,77.47,3366.21,11,4,5,24,6,No
23,146.68,5379.82,62,3,2,1,14,Yes
67,146.99,10034.7,2,4,7,12,0,Yes
32,106.3,8046.69,9,2,5,1,16,Yes
18,126.67,1736.24,6,2,1,24,25,Yes
43,133.38,968.37,45,5,1,24,15,Yes
46,48.54,5186.27,59,2,0,36,14,No
19,124.65,9130.02,41,2,5,12,5,Yes
39,37.37,8954.72,43,1,2,36,3,No
46,102.94,1460.17,39,2,4,1,21,Yes
26,141.62,10215.0,68,7,1,1,17,Yes
58,97.44,10667.61,67,5,3,24,1,No
38,65.04,7133.5,68,1,10,24,24,No
49,132.76,9208.16,3,4,10,1,0,Yes
49,77.19,3737.28,23,4,3,12,26,Yes
64,128.94,10830.36,41,7,7,24,27,Yes
61,89.48,5309.85,67,7,3,36,8,No
57,39.93,9560.02,44,7,8,24,27,No
43,50.3,4099.06,40,3,3,24,1,No
65,121.41,14798.41,23,1,10,24,20,Yes
30,146.39,5024.33,51,5,9,36,12,Yes
20,142.43,14765.82,28,3,10,12,10,Yes
49,85.03,1489.31,4,4,10,24,28,Yes
50,44.17,5699.77,67,2,3,12,0,No
50,29.94,2283.11,69,7,8,1,30,No
59,77.78,12762.27,14,1,2,36,7,No
59,22.91,13345.52,43,5,0,24,21,No
30,136.24,12604.72,70,7,5,24,13,Yes
60,103.42,3903.32,4,3,4,24,2,Yes
23,115.06,9510.86,29,5,7,36,11,Yes
21,58.75,7737.38,68,2,9,24,0,No
55,105.52,923.65,46,3,6,24,12,Yes
23,33.16,11825.5,4,7,0,1,27,No
68,54.6,3615.14,13,6,9,24,6,No
20,130.36,3560.13,40,1,9,1,26,Yes
44,68.33,5465.35,5,6,7,24,21,Yes
57,44.47,3915.1,55,7,7,12,19,No
37,49.16,10567.39,12,2,8,1,15,No
35,104.24,10948.85,7,5,3,12,20,Yes
37,96.04,3961.48,49,7,8,1,9,Yes
47,33.7,8221.91,14,1,7,24,13,No
27,132.77,4567.32,52,3,2,1,8,Yes
69,137.43,3676.26,53,2,6,36,4,Yes
40,37.98,10128.92,4,7,6,36,6,No
64,65.27,8128.16,36,3,2,36,0,No
20,113.51,11124.37,56,4,6,36,16,Yes
69,77.96,1859.55,24,1,9,24,29,Yes
67,66.45,12116.34,28,7,9,1,2,No
26,143.52,14513.01,71,2,5,12,16,Yes
66,61.49,13848.27,41,1,0,12,9,No
36,125.18,5252.27,52,7,9,12,17,Yes
53,67.28,7803.76,7,4,8,36,19,No
57,86.27,11025.78,54,1,1,24,13,No
44,144.8,4209.63,35,5,10,36,10,Yes
59,102.87,6391.66,62,6,7,24,17,Yes
45,63.2,14835.19,44,4,5,36,23,No
60,55.45,3958.5,58,7,10,36,20,No
68,84.27,14109.04,17,5,10,12,23,Yes
25,100.25,7763.69,37,1,6,1,29,Yes
59,94.88,5633.98,35,2,5,12,21,Yes
65,36.67,4012.47,7,7,9,24,25,Yes
25,74.39,9206.79,22,2,10,12,10,No
35,107.55,8412.67,4,2,6,24,0,Yes
38,102.54,1876.2,33,4,2,36,14,Yes
63,66.39,6274.87,49,5,0,1,14,No
30,91.38,9363.09,52,7,8,24,0,Yes
44,39.67,10045.87,42,4,0,36,11,No
64,34.82,1262.29,58,2,4,24,3,No
57,46.01,10429.47,54,2,9,24,7,No
33,57.38,3881.11,18,2,2,1,8,No
57,117.59,7015.11,63,2,3,24,18,Yes
26,97.51,1883.45,22,3,3,24,22,Yes
44,20.56,14343.83,6,6,0,1,6,No
34,89.71,9333.24,14,3,2,24,23,Yes
20,68.84,14030.85,60,3,9,12,17,No
21,67.04,3127.97,72,6,4,12,13,No
57,123.91,1861.26,20,1,1,12,3,Yes
69,85.12,11606.75,11,6,4,24,19,Yes
18,42.12,14547.44,10,5,4,36,0,No
31,48.64,3564.64,34,6,7,24,9,No
25,60.57,6477.07,45,6,6,1,12,No
24,64.06,1114.53,58,4,5,12,3,No
47,71.96,6464.05,58,3,7,12,5,No
42,134.23,4166.38,1,6,6,1,0,Yes
56,63.51,7645.72,5,7,10,1,2,Yes
33,94.58,660.9,59,2,10,24,21,Yes
28,20.45,2176.16,10,4,9,36,16,No
42,43.26,1285.18,68,5,10,12,9,No
50,119.78,14223.4,58,6,10,36,1,Yes
69,76.71,13861.76,11,6,2,12,14,Yes
68,61.41,8399.07,41,3,4,36,29,Yes
65,58.25,3028.1,32,5,7,1,25,Yes
38,80.59,7050.64,36,5,1,1,27,Yes
69,20.41,8609.98,59,6,2,12,3,No
69,60.8,3489.07,39,3,8,24,15,Yes
27,143.64,2668.41,52,3,6,36,18,Yes
67,38.18,9005.73,55,7,4,36,20,No
26,21.3,11928.85,47,7,3,12,1,No
18,20.36,8358.36,37,7,2,1,0,No
51,112.73,13642.89,22,5,7,24,12,Yes
48,93.87,10003.85,26,3,3,12,18,Yes
38,149.34,11167.83,67,2,1,1,26,Yes
41,63.15,13326.69,4,3,10,1,7,Yes
36,39.92,5269.39,8,1,5,24,2,No
65,90.67,10722.16,18,1,10,12,15,Yes
38,44.31,5157.18,1,3,6,36,23,No
42,110.82,3416.93,68,1,2,36,20,Yes
37,42.56,3768.88,17,6,7,24,13,No
43,65.54,10548.54,25,3,2,24,27,Yes
24,89.84,7991.24,14,2,4,1,7,Yes
20,115.72,1501.93,12,5,0,12,6,Yes
57,122.73,2634.92,26,1,4,12,1,Yes
65,65.55,9823.76,7,2,3,12,10,No
25,85.96,8805.92,43,4,4,36,17,No
47,93.99,12099.65,13,2,2,36,10,Yes
28,63.78,2486.7,2,7,9,1,13,No
25,114.37,4988.77,19,4,2,36,22,Yes
54,33.18,4397.96,8,4,10,1,5,No
34,86.39,825.53,35,5,0,1,27,Yes
25,76.8,3028.48,15,1,0,1,4,No
64,49.66,5257.45,66,3,1,24,1,No
61,51.07,7069.2,46,1,9,1,28,No
47,67.71,6229.74,42,7,10,24,29,Yes
60,131.47,10096.59,1,5,5,12,19,Yes
60,36.53,13671.79,68,6,1,24,18,No
33,105.09,8310.68,72,6,8,1,27,Yes
21,76.77,4835.9,47,1,3,36,23,No
38,104.75,14943.01,64,2,7,1,4,Yes
67,56.15,10544.45,7,2,2,24,12,No
