Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Debt_to_Income_Ratio,Existing_Loans,Dependents,Loan_Approved
45,52134,648,16,85495,0.409,4,0,No
27,168516,687,23,47182,0.235,3,0,Yes
29,197193,369,2,9191,0.207,3,3,No
44,154326,753,28,56000,0.151,0,3,Yes
21,63217,566,19,85190,0.553,4,2,No
64,178138,737,25,87764,0.37,0,0,Yes
28,156067,665,30,10439,0.253,4,3,No
44,61189,486,3,43032,0.356,4,1,No
31,143903,526,10,61116,0.098,4,0,No
37,191561,360,22,53631,0.114,4,0,No
28,52284,467,29,24173,0.506,3,1,No
55,49698,431,27,21453,0.591,4,1,No
55,199732,454,6,40322,0.242,4,0,No
53,44637,306,19,92111,0.296,4,2,No
25,85405,822,21,28969,0.274,2,0,Yes
62,86305,550,23,72030,0.337,3,0,No
59,58556,561,25,69456,0.298,5,2,No
61,107176,419,13,34191,0.282,3,0,No
48,145644,347,3,75072,0.446,0,1,No
27,122012,368,12,45305,0.213,3,4,No
29,28654,561,0,66381,0.616,2,1,No
28,65428,744,22,68256,0.235,5,2,No
32,154814,778,17,6953,0.179,3,2,Yes
54,194108,530,26,44192,0.633,2,2,No
53,120379,523,12,15208,0.187,3,0,No
43,90355,756,2,59469,0.372,2,2,No
44,71257,665,7,90517,0.247,3,1,No
57,138435,327,17,35085,0.096,0,1,No
55,130866,400,1,67929,0.622,0,2,No
64,172059,357,19,38894,0.275,2,4,No
60,176882,323,5,80555,0.437,4,2,No
42,45311,714,25,38827,0.567,3,1,No
47,137695,526,26,55378,0.382,3,0,No
55,79478,468,17,78720,0.478,0,3,No
21,190992,788,24,30233,0.521,0,3,No
55,33738,545,27,44912,0.279,5,4,No
57,98424,662,17,9367,0.427,2,1,No
34,87232,764,8,7123,0.174,1,2,Yes
23,133400,729,14,45494,0.083,4,1,No
21,30474,720,22,39485,0.642,2,0,No
25,84026,320,26,37825,0.106,4,3,No
46,91024,668,2,36436,0.307,2,0,No
34,75974,763,24,30597,0.09,3,1,Yes
59,180216,396,8,59502,0.604,2,3,No
47,30622,791,21,34155,0.116,4,2,No
29,122366,652,17,65717,0.522,1,1,No
35,64214,394,22,24983,0.479,3,2,No
35,118184,323,19,72292,0.077,5,3,No
46,123233,679,19,70400,0.483,4,1,No
62,181295,695,6,71330,0.632,1,3,No
33,46865,703,20,28451,0.363,5,3,No
52,68026,432,16,93467,0.224,3,1,No
59,114037,353,2,13246,0.377,0,4,No
52,182938,591,6,29882,0.123,4,0,Yes
24,168488,411,12,92108,0.624,3,2,No
50,50775,721,8,31455,0.269,5,3,No
57,185152,430,8,25680,0.324,1,3,No
43,44374,719,22,58344,0.291,3,1,No
59,83451,577,4,32041,0.067,0,2,Yes
65,107141,367,3,91765,0.071,5,0,No
35,40684,702,8,21794,0.387,3,4,No
63,49002,474,5,30188,0.351,0,3,No
49,116551,579,28,21992,0.642,4,1,No
56,155704,763,9,76023,0.208,3,3,No
33,179044,689,17,36004,0.271,2,3,Yes
52,31309,435,2,13165,0.643,1,4,No
27,109675,708,22,18090,0.079,2,2,No
42,93326,523,30,80027,0.436,2,4,No
48,32826,487,19,92698,0.111,3,4,No
22,168206,686,6,18593,0.618,1,0,Yes
62,175765,308,28,77557,0.223,4,3,No
65,146840,479,11,31546,0.538,1,4,No
26,160126,743,27,13385,0.597,5,3,No
48,172162,745,4,36420,0.558,0,2,Yes
48,130985,415,16,59158,0.384,5,1,No
64,40569,544,25,89524,0.634,5,3,No
64,188299,582,18,71233,0.456,3,2,No
40,31508,512,24,11016,0.522,2,2,No
50,172680,750,3,66256,0.196,4,3,No
31,114059,324,11,95125,0.301,3,0,No
48,122475,532,20,28625,0.409,4,4,No
45,155447,815,14,25498,0.137,4,4,No
59,155819,587,1,41914,0.629,0,4,No
53,135648,483,25,33039,0.116,1,0,No
21,49520,550,14,28237,0.49,3,3,No
47,55932,590,10,6221,0.085,4,4,No
33,44734,658,23,35213,0.112,1,3,No
61,94363,604,0,34026,0.424,5,0,No
23,75555,649,13,43123,0.321,5,1,No
59,41257,638,26,25746,0.052,5,0,No
26,188266,778,3,61570,0.286,2,0,No
28,172865,764,5,19245,0.2,0,2,No
47,190756,429,7,29410,0.573,0,1,No
29,118550,486,19,68001,0.475,1,2,No
57,78219,720,1,47567,0.492,2,2,No
53,158931,795,3,82912,0.621,1,3,No
62,64840,840,16,92122,0.476,0,4,No
64,122392,534,23,35513,0.146,4,4,Yes
44,84327,577,8,23361,0.612,2,2,No
35,138827,401,18,6561,0.118,4,0,No
52,59819,758,29,58163,0.166,4,3,No
52,110621,531,7,45422,0.221,5,2,No
44,126272,573,8,26783,0.155,3,3,No
61,66704,664,27,11988,0.061,4,0,No
32,85379,777,12,52290,0.325,0,0,No
59,180390,767,7,64340,0.463,0,0,Yes
22,105987,573,13,94680,0.303,2,3,No
23,136561,627,17,15730,0.191,3,1,No
57,30274,483,17,72200,0.58,1,0,No
37,174298,493,9,70674,0.283,4,1,No
22,199706,571,28,91291,0.553,4,2,No
22,121462,599,19,39334,0.157,3,1,No
48,44046,495,0,90739,0.25,2,3,No
43,99210,630,11,49198,0.532,2,1,No
57,143724,785,2,66886,0.068,3,3,Yes
52,177982,798,19,42218,0.602,0,4,Yes
53,167575,699,11,71482,0.288,5,0,No
21,73392,696,17,83900,0.637,5,1,No
39,86472,399,11,22523,0.471,2,0,No
22,95904,380,6,55152,0.62,5,2,No
64,114063,316,28,8136,0.09,2,1,No
46,70335,511,25,6231,0.483,5,4,No
52,47487,425,2,10872,0.575,5,2,No
26,61593,429,6,21492,0.643,4,4,No
52,100927,834,22,55955,0.07,0,2,Yes
24,34874,513,12,22396,0.1,0,3,No
31,79822,428,28,38351,0.489,3,3,No
37,78948,823,10,16000,0.073,2,3,No
58,28608,761,24,30709,0.057,3,0,No
44,120987,356,19,9125,0.377,4,3,No
25,130182,573,19,71978,0.368,1,0,No
54,52546,638,16,53517,0.418,3,1,No
26,140999,442,30,74989,0.058,0,2,No
42,125804,722,14,50652,0.352,3,4,Yes
31,87496,633,29,29093,0.222,3,2,No
36,80186,432,26,61143,0.504,0,2,No
53,198418,563,5,70342,0.259,2,1,No
29,161302,446,5,71266,0.264,4,3,No
26,50720,735,6,62130,0.443,2,0,No
36,68023,311,8,47059,0.446,5,2,No
49,193674,354,25,87218,0.085,0,2,No
23,92082,529,25,96692,0.426,5,2,No
40,40050,421,25,71281,0.445,0,4,No
56,138353,532,8,86651,0.325,0,0,No
39,77164,461,20,77150,0.547,4,2,No
46,153470,799,17,17213,0.055,2,4,Yes
23,55134,478,0,57710,0.631,5,1,No
39,171712,661,17,19829,0.276,2,3,Yes
40,39284,507,17,33786,0.407,2,1,No
52,85526,731,11,78074,0.071,0,0,Yes
27,159495,755,0,69960,0.475,1,2,No
61,53577,803,27,5163,0.376,5,2,No
53,146867,453,23,7840,0.626,5,4,No
60,143247,637,18,23644,0.304,3,2,Yes
59,83900,592,25,13484,0.483,3,2,No
38,109606,735,13,43008,0.095,0,2,Yes
60,31066,695,13,5395,0.089,0,3,No
21,129342,465,25,92967,0.619,0,3,No
31,33583,751,15,64312,0.202,1,0,No
48,63057,835,27,89389,0.597,4,0,No
45,178676,700,23,57303,0.103,4,3,Yes
43,51564,414,5,15176,0.433,0,3,No
51,86429,650,16,13043,0.381,0,1,No
50,123600,559,12,71940,0.63,1,0,No
62,113393,525,29,52385,0.292,1,4,No
55,140774,785,28,85440,0.079,3,3,Yes
27,53941,430,22,91925,0.334,1,3,No
36,62962,563,18,30015,0.545,0,2,No
46,194645,823,24,93389,0.081,4,0,Yes
22,146410,480,24,42160,0.072,2,3,No
21,181764,648,19,93114,0.543,1,0,No
32,83420,770,1,31050,0.544,2,2,No
25,107415,460,9,17788,0.17,0,0,Yes
57,191835,413,30,69362,0.444,5,0,No
52,107013,317,8,16184,0.089,3,0,No
29,144012,403,20,80761,0.509,0,0,No
61,162465,485,26,96756,0.233,1,4,No
55,145198,641,30,44680,0.188,5,0,No
39,58488,761,11,7706,0.457,5,4,No
36,177531,442,7,74974,0.597,3,3,No
23,168626,752,8,32884,0.075,3,3,No
40,193939,750,10,40399,0.136,4,4,Yes
44,127330,361,0,74757,0.203,0,3,No
53,30057,575,10,26018,0.607,0,1,No
44,108026,594,18,88481,0.576,2,2,No
31,30305,428,22,81128,0.594,4,2,No
28,86276,663,29,85682,0.277,2,2,No
56,188812,366,1,78319,0.189,1,2,No
58,180190,346,13,47991,0.165,2,3,No
60,162746,673,3,48047,0.579,2,2,No
40,198403,436,19,24144,0.189,3,0,No
55,115534,394,22,17489,0.369,2,4,No
45,171388,537,29,32164,0.249,3,3,No
55,172289,334,14,16604,0.349,1,2,No
45,136045,595,1,30846,0.257,2,3,No
49,170674,791,23,45052,0.226,4,2,Yes
38,112181,557,23,56113,0.306,1,1,No
38,135907,686,28,95353,0.25,3,1,No
22,38987,569,30,78489,0.554,4,3,No
55,74915,623,15,57560,0.398,1,1,No
36,38543,346,21,9085,0.156,0,0,No
61,52944,786,3,90652,0.192,0,0,No
56,165216,710,1,92869,0.082,1,4,Yes
53,134418,424,14,63778,0.23,1,1,No
24,63459,511,18,54247,0.452,2,3,No
53,195899,668,18,37873,0.16,2,3,No
34,55741,565,15,9316,0.11,1,1,No
41,151077,434,11,59446,0.243,4,4,No
40,99627,614,2,28004,0.418,3,2,No
28,138372,599,19,84385,0.334,1,2,No
27,94741,597,14,7952,0.249,0,2,No
23,94177,578,30,18914,0.58,2,4,Yes
37,28543,673,6,39170,0.331,2,1,No
53,161663,787,8,70931,0.323,0,3,No
32,81395,361,25,79255,0.069,4,4,No
42,54055,353,28,36534,0.434,5,4,No
42,31116,637,14,37577,0.326,1,0,No
50,80485,674,19,81338,0.137,4,0,No
58,158479,773,12,75118,0.196,4,1,Yes
58,187666,411,6,49314,0.171,1,3,No
65,91421,568,25,97225,0.123,4,2,No
28,60411,623,21,62414,0.311,0,2,No
47,149115,384,15,32527,0.268,5,2,No
47,124772,671,9,28045,0.266,5,2,No
54,115121,374,24,36351,0.201,1,1,No
41,148671,807,23,42886,0.312,2,1,Yes
50,136670,527,1,19906,0.379,1,0,No
53,182310,693,18,43478,0.417,5,2,No
48,129627,314,5,72511,0.182,2,2,No
53,197775,480,20,85108,0.487,3,3,No
25,191268,807,17,97125,0.066,1,2,No
39,37738,637,1,19508,0.5,2,1,No
24,139183,562,20,18150,0.22,4,0,No
55,40772,377,20,73288,0.272,3,4,No
37,90270,528,0,15417,0.398,1,2,No
64,179564,329,14,67396,0.416,2,2,No
48,79979,673,9,13069,0.303,4,4,No
50,138585,454,26,75377,0.613,2,4,No
49,192927,484,2,22155,0.565,1,3,No
26,162300,747,24,12544,0.185,0,1,No
55,176117,746,30,43888,0.403,0,2,Yes
61,49318,731,9,52249,0.483,1,4,No
57,83458,468,28,64565,0.18,4,0,No
44,169867,380,2,17140,0.061,3,4,No
49,130856,509,21,28285,0.635,2,4,No
51,110184,558,5,67253,0.625,4,1,No
55,153789,848,1,92956,0.242,2,2,No
53,46747,585,22,6638,0.193,0,4,No
41,187632,353,24,32805,0.143,3,4,No
52,36282,768,8,52807,0.462,1,2,No
43,189903,668,7,80304,0.503,1,1,No
53,88073,399,29,66840,0.302,0,2,No
23,179115,746,20,61324,0.196,1,1,Yes
38,77900,491,23,51792,0.319,3,3,No
45,45929,713,24,23506,0.36,3,2,No
62,60500,781,0,25453,0.376,1,3,No
51,26872,392,16,78647,0.316,4,1,No
23,193560,552,26,99079,0.052,1,4,No
60,92505,338,12,37103,0.333,3,0,No
44,50460,845,4,30037,0.258,0,1,Yes
52,37155,657,6,69119,0.384,5,4,No
42,167942,308,28,80301,0.092,1,0,No
43,140006,487,8,96833,0.578,4,3,No
22,118928,438,24,8853,0.575,1,4,No
47,159789,597,13,78437,0.388,2,2,No
62,151075,379,18,52034,0.492,5,2,No
22,157446,555,0,77128,0.313,1,2,No
46,177898,478,2,51746,0.404,3,4,No
37,140138,556,15,34592,0.421,5,1,No
60,169499,517,7,7743,0.262,1,3,No
53,89442,566,6,37835,0.627,1,4,No
29,190780,616,20,58946,0.412,0,0,Yes
63,125671,583,10,81538,0.644,2,4,No
59,180343,644,25,87896,0.309,0,4,No
49,41631,374,27,90194,0.069,3,3,No
62,44887,635,14,86739,0.231,4,1,No
46,50259,662,24,13194,0.44,0,1,No
55,122932,489,12,24662,0.596,5,1,No
45,82987,771,19,87488,0.419,3,1,No
44,44144,405,5,55500,0.333,2,3,No
33,176908,369,27,44710,0.098,1,0,No
27,69456,821,4,51091,0.137,0,4,No
56,192452,513,21,61155,0.082,1,2,No
65,145250,816,30,59731,0.477,2,1,Yes
40,102735,327,3,48625,0.549,4,3,No
21,36569,614,18,41189,0.149,1,4,No
28,150294,806,14,5786,0.245,5,1,No
36,187254,535,20,22300,0.337,4,1,No
34,177721,391,4,14424,0.136,2,4,No
32,108731,662,29,19349,0.3,2,3,Yes
43,121132,337,10,98286,0.63,4,1,No
35,125497,790,17,72314,0.481,0,0,Yes
48,52003,409,9,5330,0.15,2,4,No
54,172623,443,15,87460,0.109,2,4,No
22,139432,496,3,68345,0.317,4,3,No
52,179898,345,28,35400,0.643,1,3,No
43,127486,448,18,69774,0.526,4,1,No
42,180801,437,29,25877,0.226,3,4,No
45,159940,789,22,39447,0.066,1,4,Yes
42,66274,701,4,47836,0.297,1,4,No
42,63718,640,14,34580,0.146,2,4,Yes
62,188425,601,5,85209,0.158,1,3,No
26,66682,417,29,76068,0.147,0,3,No
35,55653,450,26,30044,0.482,0,3,No
63,170213,466,30,20740,0.072,0,4,Yes
57,167609,724,22,42854,0.389,3,4,Yes
53,55401,736,1,25540,0.502,2,4,No
28,183459,373,9,32646,0.144,5,0,No
64,106690,661,19,41410,0.586,5,3,No
64,125613,395,29,80351,0.097,4,3,No
25,162702,591,30,84278,0.46,3,2,Yes
59,199533,476,5,45709,0.153,3,2,No
24,69293,326,18,71335,0.534,0,3,No
26,179142,604,5,61606,0.393,1,2,No
65,38416,504,25,71421,0.404,4,0,No
52,141711,519,14,40848,0.258,2,1,No
50,140037,599,0,94602,0.22,1,3,No
55,115935,557,7,49004,0.328,1,4,No
60,164701,539,25,90401,0.505,3,0,No
36,33360,528,20,14100,0.151,3,2,No
33,37011,773,29,31273,0.54,0,0,Yes
62,65721,455,29,21682,0.338,2,0,No
50,61069,517,29,52836,0.321,2,3,No
39,78270,764,10,57896,0.06,3,0,Yes
37,36227,494,13,83148,0.125,3,0,No
39,64587,569,0,35286,0.309,0,2,No
48,86720,827,13,57425,0.639,1,0,No
46,93305,655,25,6859,0.2,4,1,No
57,101028,839,9,45804,0.056,0,1,Yes
46,78651,775,30,68870,0.312,2,0,Yes
43,76332,607,26,20406,0.06,2,2,No
29,93201,708,16,69444,0.252,1,2,No
32,180879,740,10,92268,0.262,1,3,Yes
21,68552,820,9,92852,0.051,5,1,No
21,148938,822,14,79085,0.518,4,4,Yes
54,142230,784,11,12775,0.598,2,4,Yes
52,118758,557,2,80479,0.649,3,1,No
45,82300,469,21,15579,0.355,3,1,No
60,51951,760,17,14135,0.234,0,2,No
65,45264,410,23,55085,0.48,3,1,No
21,44121,519,26,85231,0.492,5,2,No
36,109351,304,25,28875,0.278,4,2,No
59,75539,831,6,74608,0.389,4,4,No
25,186383,594,10,71762,0.543,5,3,No
42,198469,757,17,6290,0.164,2,1,Yes
49,175821,812,16,61079,0.062,3,3,No
23,54218,511,22,17352,0.374,1,0,No
32,69867,418,15,63848,0.449,2,4,No
46,26316,684,28,17998,0.395,0,1,Yes
36,62972,559,28,46798,0.408,1,1,No
57,111924,698,22,13704,0.286,3,3,No
42,117700,474,2,69736,0.441,4,0,No
49,154079,713,29,89422,0.076,3,2,No
34,198707,433,25,8075,0.141,4,3,No
48,129082,401,12,60889,0.317,5,4,No
25,164151,684,7,39189,0.616,0,0,No
50,85887,754,23,68731,0.437,2,3,No
25,178484,361,4,47830,0.263,5,1,No
32,60862,306,6,56025,0.325,3,3,No
36,152677,814,18,19979,0.557,1,4,Yes
46,170893,631,21,49993,0.375,3,4,No
46,98118,678,18,81970,0.079,3,4,Yes
41,99548,744,26,31649,0.3,0,3,No
59,189727,634,11,32859,0.283,4,4,Yes
56,129319,767,8,99862,0.59,2,2,No
53,105066,587,22,74509,0.233,2,4,No
50,70221,311,16,48172,0.089,4,0,No
57,112189,403,23,12806,0.263,1,1,No
43,130812,562,24,95026,0.076,3,3,No
30,117326,734,9,7703,0.549,0,3,No
25,164972,472,17,83885,0.404,1,4,No
56,189557,620,0,47688,0.332,0,3,No
54,38891,344,14,73228,0.266,0,3,No
51,133640,845,30,50662,0.301,3,0,No
30,171086,510,10,49458,0.523,5,3,No
39,97083,716,3,10151,0.158,5,1,No
52,62964,563,24,36938,0.093,3,3,No
21,69739,600,5,54533,0.387,2,0,No
25,141871,755,26,97676,0.565,2,2,No
65,110799,525,12,82282,0.387,3,2,No
24,199446,403,27,54109,0.528,0,3,No
36,64459,520,25,71143,0.586,0,0,No
44,32045,633,7,47262,0.096,2,2,No
36,68255,717,6,72813,0.404,5,0,No
22,76965,600,4,16625,0.55,5,2,No
48,26237,784,4,32015,0.436,4,0,No
52,155811,756,15,9826,0.405,3,3,No
47,77195,735,29,11124,0.523,3,2,Yes
40,142775,693,5,75930,0.474,3,4,No
44,61326,342,15,32753,0.351,2,3,No
32,161365,509,14,26931,0.076,3,3,Yes
55,50274,310,5,36467,0.418,1,0,No
53,175309,515,20,93566,0.178,5,3,No
53,118920,463,7,48868,0.202,2,2,No
63,121529,524,2,57139,0.458,2,3,No
57,174301,545,8,64650,0.322,5,3,No
32,103847,315,20,58215,0.48,3,0,No
23,81718,493,8,47479,0.286,2,3,No
21,93718,308,4,25047,0.572,4,1,No
53,74615,813,18,54729,0.306,0,1,Yes
60,143548,592,24,88962,0.346,1,2,No
30,96296,383,15,24306,0.126,4,0,No
63,97796,508,15,86721,0.352,1,2,No
64,157987,357,17,46570,0.194,1,3,No
49,99651,811,11,90275,0.508,3,0,Yes
33,32076,630,15,70706,0.478,2,4,No
32,105350,760,28,86648,0.06,1,0,Yes
51,189155,624,4,36306,0.346,5,3,No
22,78918,509,2,69109,0.077,4,1,No
55,160865,424,6,97887,0.392,1,3,No
43,75528,761,19,46487,0.591,2,1,No
37,142503,589,30,47072,0.57,1,0,No
46,91798,513,13,67230,0.196,0,3,No
28,34319,731,23,68674,0.134,5,2,No
49,169266,396,15,74990,0.525,1,0,No
46,175381,548,0,15530,0.378,5,3,Yes
30,51998,802,4,14432,0.304,0,0,No
46,28468,824,7,8708,0.536,1,0,No
54,137178,804,1,51248,0.202,4,3,No
61,168723,390,21,91388,0.185,1,0,No
27,176477,466,6,26868,0.417,0,4,No
24,170554,550,5,98769,0.214,0,3,No
65,29409,746,9,16648,0.306,3,4,No
31,91083,485,2,80769,0.323,4,1,No
49,110443,548,5,33517,0.173,2,0,No
56,48426,639,22,17565,0.087,0,1,No
45,133025,745,28,24743,0.51,4,1,Yes
41,79757,437,18,20005,0.52,5,1,No
56,170508,408,27,64478,0.409,3,0,No
30,41490,716,25,82817,0.139,0,1,No
57,77136,725,1,36342,0.336,4,1,No
29,185034,343,18,5338,0.157,4,3,No
44,185360,641,27,66894,0.579,1,1,No
55,47236,500,29,15650,0.468,3,2,No
55,170995,677,16,14113,0.069,3,0,Yes
56,169336,403,22,82969,0.051,1,3,No
38,92147,757,3,9187,0.64,4,4,No
59,32928,714,2,15058,0.074,1,2,No
52,190630,701,13,28489,0.57,1,4,Yes
44,81369,689,21,10712,0.623,4,2,No
43,91403,661,29,60996,0.235,5,3,No
52,122225,733,2,87605,0.374,2,2,No
57,70213,682,27,74307,0.438,0,0,Yes
32,123631,327,10,94243,0.362,4,0,No
33,28816,406,9,37154,0.178,1,0,No
43,123162,839,2,76848,0.399,5,2,Yes
45,191988,485,8,53754,0.205,3,3,No
55,72838,494,15,36008,0.149,4,1,No
61,167645,445,17,20921,0.353,3,3,No
50,199406,427,30,34079,0.273,2,3,No
37,90364,405,4,73217,0.066,2,4,No
40,169229,715,25,9970,0.62,5,3,Yes
45,34322,651,14,34530,0.074,2,1,No
42,144024,682,25,5019,0.592,0,2,Yes
33,27482,648,15,87712,0.164,2,2,No
39,60867,780,17,28606,0.135,1,1,Yes
56,104211,613,5,40242,0.091,2,2,No
32,120956,822,3,88892,0.305,0,0,No
61,133052,659,22,72249,0.402,2,2,Yes
39,104386,620,12,50110,0.592,4,0,No
32,31732,683,0,22292,0.52,3,1,No
29,196825,316,23,22584,0.146,1,1,No
27,59422,669,1,74088,0.151,1,3,No
48,101964,365,30,28675,0.055,2,2,No
34,81284,412,14,37393,0.463,0,4,No
51,153575,715,3,57059,0.06,3,2,No
39,36311,370,26,20328,0.133,0,3,No
36,154507,360,12,15506,0.431,2,2,No
25,195651,743,22,65793,0.14,5,4,No
55,101000,613,13,40446,0.142,5,2,No
32,153259,782,14,42069,0.19,0,4,Yes
45,70311,543,7,62187,0.281,3,4,No
41,35300,816,8,19056,0.055,3,3,No
56,90375,669,4,91035,0.498,0,4,No
43,59563,616,24,89039,0.514,2,1,No
36,146227,320,24,36712,0.27,3,4,No
59,104244,530,2,45530,0.529,0,1,No
65,153161,825,6,19127,0.221,0,1,No
62,150307,768,7,73896,0.641,1,0,No
59,184162,377,15,76966,0.289,3,0,No
34,139687,829,16,99821,0.451,1,1,No
51,41328,589,26,48954,0.243,3,4,No
25,182726,517,9,54399,0.32,2,4,No
55,162286,399,20,46277,0.437,1,4,No
43,194985,448,0,10035,0.259,1,0,Yes
49,183624,684,18,22100,0.444,2,0,No
63,60377,454,17,44589,0.138,4,1,No
31,181806,694,28,10936,0.34,1,4,Yes
38,115257,675,17,24722,0.214,2,2,No
32,43610,401,19,38050,0.602,5,1,No
29,184947,391,4,83308,0.545,2,3,No
30,80082,710,10,34241,0.342,2,1,No
64,48226,705,0,91975,0.322,5,0,No
37,52677,320,26,14408,0.55,3,1,No
58,166370,707,21,7574,0.464,2,4,Yes
27,60848,318,10,86898,0.46,2,0,No
33,124291,835,10,49376,0.379,0,0,No
60,149227,837,4,90248,0.567,4,2,No
62,88654,452,28,61850,0.164,1,4,No
29,42744,600,19,26687,0.567,2,4,No
47,179506,712,21,66119,0.362,0,3,Yes
22,130850,501,17,39593,0.423,2,2,No
25,73001,438,7,8647,0.627,5,2,No
49,84633,323,21,94865,0.305,4,3,No
57,73917,311,14,44099,0.451,4,1,No
58,104804,434,2,43566,0.363,1,3,No
39,25907,380,15,43636,0.609,2,3,No
28,116295,654,19,38055,0.343,1,4,No
65,169836,369,11,14266,0.204,1,4,No
21,180481,503,28,20129,0.34,0,1,Yes
42,164462,578,1,27072,0.6,2,2,No
37,55172,678,19,43075,0.35,3,4,No
27,148936,593,24,39998,0.138,3,2,No
45,128512,714,19,31373,0.375,4,1,Yes
65,196614,727,12,66942,0.283,5,1,No
24,73196,455,23,32142,0.44,5,4,No
56,93901,576,18,66377,0.195,3,0,No
26,181908,564,12,58365,0.243,1,3,No
51,177735,348,30,25830,0.36,1,2,No
39,162023,592,20,83454,0.121,0,3,No
64,40175,320,17,65769,0.176,4,1,No
59,167099,743,29,54361,0.531,5,0,No
47,132809,834,24,26736,0.614,4,2,No
30,100630,771,15,9219,0.632,5,0,No
46,113617,437,24,44914,0.612,4,2,No
39,168239,529,29,21973,0.615,5,3,No
59,179132,704,9,46092,0.543,5,2,No
23,152310,656,6,17502,0.491,3,0,No
65,91556,840,1,41607,0.189,0,0,Yes
33,127148,320,3,42888,0.315,5,1,No
48,35485,826,30,13531,0.289,0,2,Yes
