Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Parking,House_Price
878,2,3,0,12.72,2,5723485
2296,3,3,22,16.4,1,10941870
2778,5,2,7,18.26,1,14546184
3565,4,1,4,1.29,1,17405373
2588,5,1,27,14.46,2,12453907
3599,2,1,15,28.94,0,16286347
2682,4,2,10,16.05,1,13371080
700,3,2,4,20.65,2,4529707
2363,4,2,3,10.04,0,11866279
1279,1,2,29,23.45,1,5472172
3477,4,2,5,23.41,0,16897833
3604,1,3,13,16.12,1,16698665
3619,4,1,21,29.3,1,16845515
1002,1,1,18,4.64,1,4479608
2954,2,1,8,1.49,0,14081587
2251,5,1,11,23.33,2,11219604
1304,3,1,10,24.41,0,6378942
2646,4,1,13,4.49,1,13503959
3231,5,1,22,8.7,0,15892114
2395,3,1,15,1.51,2,12169904
3273,3,3,0,9.51,0,16212736
2070,1,1,30,23.42,2,9153505
1460,2,3,12,16.02,2,7597691
3160,2,2,22,11.09,0,14599597
1985,5,1,20,11.78,1,10007560
3190,2,2,20,1.04,2,15633804
1528,4,2,29,9.69,0,7868660
3789,2,2,12,19.75,2,17981724
1002,5,3,1,29.25,1,6236425
3314,2,2,3,25.56,0,15666690
897,4,2,27,1.68,0,5050542
1370,1,2,5,27.06,0,6428398
3342,5,1,25,23.71,1,15954379
892,1,1,30,23.63,2,3391089
706,1,3,26,14.28,0,3369361
1538,1,3,22,12.54,2,6817771
2381,3,1,26,9.78,2,11101245
3439,3,3,4,2.91,1,17686719
1984,1,1,24,7.62,0,9124648
1363,5,2,2,8.15,2,8594367
3290,4,2,0,15.04,0,16197373
3812,4,3,3,22.68,0,18661343
1063,2,1,24,14.74,1,5249198
1520,5,1,19,2.68,0,8209674
595,3,3,1,28.78,0,3984041
2423,1,1,25,28.34,2,10999345
2257,2,2,29,23.77,1,9865986
3032,4,3,29,29.75,0,14027940
3978,3,3,4,16.79,2,18976679
2778,3,1,2,28.92,1,13108823
3296,1,3,28,3.19,1,15446746
2178,4,1,27,11.6,2,10274663
3742,5,1,28,7.54,2,18022081
1040,3,1,8,6.68,2,6311021
1559,1,1,19,5.08,2,7334415
3072,5,1,5,19.05,2,15527966
1683,4,3,17,23.66,0,8731128
2222,3,2,5,17.77,0,10773226
3814,5,2,18,5.26,1,18483687
3657,5,3,27,24.52,0,17060185
2319,5,3,11,19.44,0,11817519
3125,3,2,24,12.26,0,14766328
3229,3,2,10,20.55,2,15430701
3104,2,2,1,8.54,1,15213412
2097,4,2,14,11.01,1,10425685
3560,1,2,11,27.61,1,16599406
3193,5,1,11,9.42,1,15688823
1295,2,3,8,14.63,0,7175645
1551,1,1,20,26.81,0,6688532
2143,2,2,23,21.52,2,9616350
1863,3,2,1,2.8,1,9959743
2481,5,2,21,5.27,0,12168406
1854,1,1,2,1.23,0,9325737
2163,1,1,11,19.3,2,10027159
2029,1,2,27,13.98,2,9256703
2538,1,1,29,4.89,2,11345862
3919,1,1,25,28.78,0,16976064
1996,2,2,15,16.36,0,9246394
3802,5,1,20,8.01,2,18587856
2737,3,3,27,15.52,1,12907812
3796,3,3,23,20.71,2,17774127
1908,3,3,25,3.21,2,9587247
1900,3,3,29,8.97,2,9175885
1806,2,2,0,24.4,2,9121162
3180,4,2,20,14.33,0,15234807
3175,5,2,2,16.85,1,15831966
1472,1,3,19,13.55,2,6955662
2268,4,3,1,2.27,1,12610171
1782,3,1,8,5.81,1,9062111
3930,4,1,18,13.92,1,18418710
1209,5,3,14,7.07,2,6963132
1979,1,3,17,2.45,0,9764169
1934,1,3,25,25.47,2,8544619
1148,5,3,10,29.45,1,6613177
817,5,1,24,24.0,1,3959454
3796,3,3,22,25.76,0,17791343
1757,1,1,15,8.02,2,8645314
1183,4,3,21,28.86,1,6272430
1163,2,3,16,6.71,0,5695680
2498,2,3,4,28.59,1,12378891
3945,5,1,11,29.85,0,18493663
2131,3,1,10,21.64,0,9943957
1995,2,2,29,29.45,2,8837635
3804,1,3,14,17.52,1,17566758
1636,5,2,26,8.53,2,8465138
2353,4,2,2,13.67,1,12523519
2020,5,1,0,18.21,2,11358756
2989,4,1,19,3.12,1,14160816
1063,5,2,28,19.05,2,5560292
1791,5,3,15,29.45,0,9271187
3957,5,1,1,6.51,1,19574121
3958,4,3,1,23.99,1,19536050
3684,4,3,2,27.33,0,18230396
2136,5,2,7,28.37,2,11296941
3499,2,2,23,28.84,1,15976133
3652,3,2,27,16.12,1,17291374
1198,3,2,14,29.34,2,5726963
2660,3,1,6,22.96,0,13100827
501,4,1,5,5.69,2,3742452
1141,4,2,8,14.83,2,6814181
2767,2,1,19,21.83,2,12472483
2089,3,2,27,8.17,1,9774976
1354,3,3,0,19.58,0,7656929
2259,5,3,7,20.33,0,11321717
3796,4,3,22,5.72,2,18684961
2932,3,2,22,17.39,1,14101191
3974,2,3,30,23.38,2,18149846
2161,2,1,2,15.47,1,10660540
1653,3,3,3,1.35,1,8988091
1576,4,3,25,1.26,1,8500412
2207,2,3,24,11.35,1,10591416
3277,5,1,14,27.86,0,15398924
2195,2,2,5,7.63,1,10912030
2233,1,1,14,19.4,1,10160666
1939,1,2,30,7.44,2,8738499
2794,4,2,20,10.33,2,13385672
1335,3,3,2,25.59,0,7390455
702,4,2,24,22.14,2,3875322
3755,4,1,20,3.77,1,17905941
622,4,1,20,13.43,2,3565833
900,4,2,13,1.85,0,5536818
1266,5,3,19,14.95,2,7272674
793,5,3,13,20.21,2,5502496
2827,2,1,3,4.44,0,13827850
3431,1,3,11,9.38,0,16106229
697,4,2,16,12.54,1,4100771
3529,2,2,6,27.67,2,16893588
2430,1,1,8,29.8,1,11018356
3299,3,2,2,2.3,2,16496571
2691,5,1,27,23.07,2,12790107
1108,1,2,12,11.78,1,5439998
3772,3,1,14,12.38,2,17827765
1647,1,3,17,22.87,2,8330652
686,5,2,18,27.63,2,3952444
3897,5,2,0,28.58,0,18871274
3011,2,1,5,17.74,1,14645781
3920,4,1,26,11.36,0,18089099
2294,1,2,26,23.84,1,10033545
1159,1,1,22,8.28,1,5568616
3311,3,2,26,17.36,2,15097251
3502,5,3,26,11.4,1,17216364
2455,1,1,1,20.04,0,11553104
2950,5,2,23,7.97,0,14536801
1869,1,3,13,6.56,0,9225808
2486,2,3,5,27.63,1,11942404
2034,4,2,13,3.95,0,10741796
646,1,1,3,15.67,1,3381066
3719,5,2,20,7.4,0,18099712
3411,2,3,7,2.13,0,16911331
2234,1,2,29,2.04,1,10551925
2343,3,1,2,6.08,0,11715118
988,4,3,18,26.14,2,5648984
3476,1,2,29,9.19,1,15563328
2459,2,1,30,28.56,1,11350249
2163,3,3,13,17.87,1,11006132
3098,2,1,26,13.66,2,14158815
2885,2,3,19,17.82,1,13679241
3419,3,2,16,15.98,0,16217676
1140,2,1,24,23.0,0,5119186
2302,3,3,7,9.19,0,11660200
3020,1,1,23,11.24,1,13491618
2469,3,1,13,26.93,0,11508937
2698,3,2,25,28.45,1,12122077
1938,4,1,5,26.88,0,9867969
3869,3,3,22,13.16,2,18166874
2134,3,3,21,23.63,2,10120412
762,1,3,15,14.81,2,4094211
2287,4,3,24,15.43,2,11350369
2691,5,2,18,6.94,1,13613109
2893,1,1,13,18.14,0,12988649
1123,1,2,18,6.4,2,5507364
1516,5,1,2,10.62,1,8742630
1380,3,1,9,25.8,2,7166804
2549,2,1,18,7.01,2,12227681
3444,4,2,8,3.06,1,17125292
1827,2,1,27,3.0,1,8538731
2801,5,2,19,28.28,0,13541510
952,1,3,12,15.7,0,4675990
3608,1,3,6,12.87,2,17627112
1683,4,1,13,24.52,2,8840997
3562,1,2,30,25.24,0,15782761
2556,1,3,8,10.63,0,12192935
3804,4,2,26,21.11,1,17880586
3670,4,2,27,23.36,0,17207392
2182,5,1,22,19.98,0,10273601
3363,1,3,24,5.4,2,16099128
2755,1,1,27,26.4,0,11419653
1654,5,1,18,16.63,2,8786551
903,3,3,14,9.19,0,5543021
2699,3,3,19,13.33,1,13075634
2601,3,2,13,2.09,0,12780084
3691,5,3,23,4.71,0,18167215
2196,1,2,5,23.2,0,10815970
1127,5,2,20,1.0,2,6591233
1086,5,2,28,13.08,1,5660161
2148,3,3,3,16.15,0,10922056
1943,2,1,7,2.58,2,9438772
1945,1,2,16,29.22,1,9042539
603,3,1,29,7.56,2,3048779
753,2,1,8,9.82,2,4240015
3798,2,3,0,9.81,1,18762205
3683,4,1,23,7.68,0,17200672
3057,1,1,19,1.04,2,14390473
1996,2,3,24,22.15,2,9179478
598,3,2,13,29.04,0,3504880
2700,4,1,10,7.5,0,13415476
2384,1,3,20,20.23,1,10991255
3461,5,1,2,22.51,1,17117023
2419,3,1,8,25.6,1,11301810
1377,2,2,26,13.26,0,6408300
837,2,1,13,9.78,2,4460483
3369,3,3,29,10.43,2,15612042
3734,2,1,8,21.67,1,17201831
1456,4,2,3,24.69,0,7780889
2204,1,2,26,6.27,2,10040777
660,4,3,3,11.76,1,4166772
2103,2,2,27,27.16,2,9804397
3348,5,1,7,24.39,2,16427678
897,1,2,1,29.56,0,3951812
1800,1,3,8,22.87,0,9186341
1315,3,2,28,12.4,2,6809848
2027,3,2,13,18.13,1,9926654
2419,5,2,21,20.17,0,11646476
1915,1,3,8,3.28,2,9862698
1658,5,2,23,16.79,0,8480782
1718,3,2,30,21.57,0,7995122
900,3,1,30,5.85,0,4103095
1139,1,3,22,23.64,2,5647143
3604,4,2,15,17.93,1,17176034
3235,2,3,28,28.61,1,14815491
959,3,2,29,2.23,1,4766665
1454,3,2,16,8.69,0,8081236
969,4,2,15,18.45,2,5700381
3946,4,1,29,9.6,0,18951058
1545,5,1,11,21.72,1,8370000
3297,5,1,2,23.01,1,16195934
2193,2,3,10,3.97,2,11386445
2585,2,3,13,15.9,0,12624644
2777,1,1,17,15.76,1,12709631
3936,5,3,20,11.71,2,19425398
1062,3,2,30,28.05,0,4968432
2985,5,2,20,25.0,0,14094080
2299,3,2,4,21.22,1,11224885
3854,4,1,15,21.72,1,17965046
2574,5,3,19,14.39,0,12952086
725,4,1,4,27.71,0,4192507
3848,2,3,2,21.14,1,18219307
1297,2,2,11,22.14,0,6562529
2831,1,1,0,25.99,1,13320461
3426,5,3,20,8.95,0,16870232
1459,4,3,28,24.41,1,7172803
2004,3,2,8,6.66,2,10320243
952,2,1,28,11.01,1,4153467
3567,2,1,8,10.73,1,17070335
1315,3,1,3,29.38,2,6679027
1158,4,2,2,25.84,0,6536548
1046,4,1,16,21.33,2,6015903
1715,5,2,1,22.08,1,9367836
3620,5,2,23,17.3,0,17489176
516,1,2,0,28.47,2,3204777
3743,2,3,7,15.39,0,17908567
1743,5,1,12,12.04,0,9220287
2705,4,1,22,5.73,2,13144173
3024,3,2,14,23.8,0,14260694
1569,4,2,7,22.3,2,8292472
3944,2,1,11,12.15,1,18410364
3065,4,2,21,1.73,0,14736594
2646,1,1,11,25.33,1,12296814
2268,2,3,13,1.33,1,10939526
1560,3,2,14,21.41,0,7832063
2827,1,1,14,29.14,2,12862847
3920,2,2,8,13.69,0,18507704
3044,3,1,18,7.81,1,14697925
801,1,1,25,21.44,1,3259169
680,1,2,19,24.7,2,3274858
1106,2,3,28,16.85,0,4770865
3670,5,1,21,29.04,1,17125371
1199,1,1,7,2.5,1,6344434
1492,1,1,20,15.64,1,6396410
1639,3,3,18,21.84,2,8338636
690,4,3,5,26.02,1,4380221
2800,2,2,19,6.2,1,13243253
1480,2,3,24,24.2,0,6721581
3475,5,2,28,17.03,0,16115101
2506,5,2,18,12.5,1,12703501
1684,2,3,3,4.82,1,9004201
3827,5,2,22,26.09,0,18192857
3894,3,3,6,5.56,2,19390409
627,2,2,27,9.98,2,3543215
2565,5,3,27,9.41,2,12932672
2316,2,3,3,26.27,2,11848755
2258,4,2,21,20.51,2,10831856
3113,1,1,11,24.1,2,14498740
1069,2,2,12,8.26,2,5900148
1846,1,3,2,19.12,2,9402873
2395,5,1,21,17.58,0,11732083
3233,1,2,11,25.15,2,14730315
1125,2,2,1,27.28,2,5742713
3859,4,2,23,1.35,2,19020957
3401,5,1,1,20.55,1,16846319
2186,2,3,26,2.5,0,10371252
3509,5,2,22,16.92,0,16516523
654,3,2,8,9.34,0,3715755
3037,1,2,0,9.9,2,14756420
1909,3,2,7,11.24,2,9845303
1284,2,2,22,19.02,1,6088034
3675,4,3,5,10.69,0,18210488
3964,5,3,5,22.25,2,20330365
745,1,2,21,12.73,0,3388255
3747,5,1,24,2.98,1,18386885
3610,2,3,17,23.73,1,17225906
2000,5,1,16,9.29,1,10472606
2205,1,3,28,13.55,0,9902718
3306,2,2,11,20.88,2,15294032
1037,5,3,5,10.64,2,6888186
2390,4,2,25,2.64,1,12041903
2341,2,3,26,11.84,2,11564622
1420,2,2,7,28.39,1,6799711
2955,4,2,18,19.61,0,14074418
1024,3,2,27,20.47,1,4727634
3375,1,2,9,19.34,0,15437331
2029,3,1,0,6.77,1,10691197
3450,5,2,24,13.13,2,16562574
535,4,1,28,22.78,2,2645832
1184,3,1,12,3.94,1,6558449
519,2,2,16,9.06,2,3266985
2868,5,1,2,9.01,2,14873303
3059,5,3,7,13.53,2,15576678
899,3,2,13,29.43,0,4935156
3201,3,1,2,2.96,2,15908923
1471,4,2,15,16.04,0,8228748
2406,1,2,12,6.2,1,11533292
3018,3,2,19,29.15,2,13559663
1666,3,1,23,4.29,2,7641731
1615,2,3,16,12.7,2,8349487
3925,5,3,12,22.4,1,19509624
1333,1,1,28,21.43,0,5323943
2323,2,2,5,13.26,0,11898545
3274,4,1,16,11.05,2,16247750
2482,4,1,13,12.53,1,12296037
1353,3,1,16,8.66,1,7020163
550,3,2,29,6.95,1,3254633
1074,4,1,7,15.01,1,6540299
3761,3,2,10,8.79,1,18279234
1648,1,1,19,9.34,0,7541183
2697,3,3,27,20.05,0,12748575
2861,5,1,0,29.09,0,14357040
3117,3,1,25,18.51,2,14642403
3913,2,3,6,3.23,1,18581394
2852,1,2,20,3.19,2,13459163
2215,2,2,20,28.59,1,10270810
1181,2,1,16,9.62,0,5723888
1337,5,3,29,3.67,2,7614142
1577,1,2,9,18.37,0,8004392
3550,1,1,10,19.09,1,16307754
2991,1,3,21,19.81,1,13891230
3160,1,2,29,8.75,1,14641566
3540,1,2,8,1.44,0,16771591
2811,5,3,8,28.99,1,13957584
3624,3,3,23,8.28,0,17281345
2095,2,3,4,20.6,2,10065083
3551,1,3,16,21.49,1,15805108
504,3,1,8,18.69,1,3227453
1626,3,3,16,10.07,1,7859357
1719,2,2,23,8.86,2,7984508
1273,5,2,20,18.33,1,6776875
1376,4,1,18,26.12,0,6539246
1491,4,2,26,28.46,0,7053348
3431,3,2,6,4.07,1,17136318
3921,2,3,22,5.49,1,18464320
546,4,2,8,28.4,2,3459170
3414,3,1,6,22.36,2,16674410
3370,5,3,12,26.61,2,16345586
3483,4,3,10,6.88,1,17381371
3203,3,1,13,18.04,2,14842679
768,3,3,18,21.33,2,4452479
869,1,3,10,20.72,0,4356443
1135,5,1,12,12.84,2,6831259
1629,1,3,30,1.45,0,7721672
2193,2,1,13,17.9,0,10088715
2182,1,1,12,8.34,2,10167465
1156,1,2,0,14.06,0,5952026
619,4,2,7,28.77,1,4393993
1330,3,3,11,12.57,1,7643367
2310,5,3,18,25.35,2,11505933
1581,1,1,11,6.47,1,7830156
2474,5,3,7,20.5,0,12335142
1869,1,1,7,29.33,1,8497064
1240,2,1,28,3.95,2,5669109
616,1,3,20,1.24,2,3804520
2353,4,1,12,13.57,0,11254421
3338,3,2,11,3.69,2,16479538
1650,2,3,28,22.7,1,7631178
3964,1,2,15,27.52,2,18028738
2431,5,3,0,13.59,0,13375596
1512,2,1,12,8.5,2,8033924
2164,2,3,25,13.6,1,10194902
1581,1,2,6,21.98,0,7488421
1133,2,1,27,1.26,1,5031582
1012,5,3,25,18.09,0,5606135
3349,2,3,4,18.79,2,16783026
1619,5,3,7,19.49,0,8908516
1641,1,2,24,8.02,0,7676290
1059,3,2,26,21.71,2,4881926
987,2,3,13,3.65,1,5444806
3808,3,1,22,6.78,2,17976016
1396,5,1,29,26.45,0,6694466
3843,2,2,12,22.42,2,18191267
1712,4,1,14,1.4,0,8715332
1203,3,2,22,8.2,2,5852003
1970,2,3,16,7.22,2,10181123
1080,3,2,14,8.85,1,5668963
3337,2,2,19,8.18,0,15674551
3408,1,3,17,2.81,1,16187514
2794,3,1,17,14.31,0,12705862
3647,4,2,1,22.25,2,18253781
653,4,2,3,18.6,0,4179858
2179,5,3,29,20.51,1,10784064
1496,2,1,0,3.35,1,7855454
3657,3,2,30,28.59,1,16950348
3244,5,3,3,25.32,0,16612473
3856,3,2,17,24.35,1,17526916
1743,2,3,4,24.87,1,9410807
1592,4,1,18,28.05,1,7583423
3618,1,1,14,16.78,2,17111009
1508,4,1,27,6.81,2,7520748
2641,5,1,7,18.89,0,13106471
2273,1,2,19,22.54,0,10160868
1457,5,2,16,22.4,1,7658303
3559,2,1,0,16.12,2,17704199
952,1,1,11,2.99,1,4850109
1727,5,1,25,11.76,1,8615726
3459,2,2,18,27.7,2,15960753
2765,4,1,14,17.95,2,13231666
3021,2,1,8,16.61,2,14761580
2979,3,1,6,8.8,0,14081730
2888,2,3,1,11.69,0,14113698
1050,2,1,30,26.97,1,4649765
2135,3,3,28,20.33,0,10021488
1812,5,3,8,23.83,2,10024704
3825,5,1,9,14.18,2,19127191
2257,2,3,1,19.28,0,11526850
856,3,1,18,8.2,1,4622369
2570,3,2,10,21.46,1,13018136
2285,4,2,12,13.4,0,11297416
3069,5,2,9,13.83,1,15403823
2281,1,2,13,19.83,1,10615290
3671,5,3,17,28.15,1,17725895
3349,5,1,18,2.86,2,16245997
3751,4,1,21,24.92,2,17130188
3794,1,1,8,9.48,0,17637700
3309,4,2,24,13.87,2,15674732
2989,1,2,6,1.64,1,14894652
2131,2,1,27,9.73,2,9811764
3316,1,2,2,15.58,0,15587528
1515,4,1,19,2.63,2,8253485
1848,5,1,5,15.24,1,9966748
1015,1,1,26,27.89,1,4085821
3587,1,1,20,4.06,0,16130117
3339,3,1,1,23.17,2,17071525
835,5,1,28,12.88,2,4740346
2282,2,1,5,20.0,2,11345107
2805,4,2,2,8.55,1,14085764
996,2,1,15,5.63,0,4879904
1395,5,1,29,5.65,2,7807586
2707,1,2,7,3.04,1,13434933
1351,1,2,1,6.38,1,7241306
2187,5,2,16,20.26,1,10990907
2431,1,1,8,26.57,2,11199591
3237,1,3,29,24.61,2,14380272
2927,1,3,11,20.87,2,13569888
2068,4,2,2,4.2,2,11442961
1456,4,3,10,9.39,2,8388908
3238,3,2,0,9.98,2,16365420
3998,2,1,22,8.25,2,18351776
2136,5,3,12,15.94,2,11427110
1791,5,1,14,16.53,2,9260889
1940,5,3,25,11.35,1,9836173
1691,3,1,4,11.26,2,9291066
1566,4,3,20,25.03,0,7916777
784,3,1,29,23.89,1,3692064
2944,5,1,16,9.93,2,14828339
511,2,3,30,27.5,0,2273010
2130,1,1,30,28.63,2,9152558
3873,4,1,24,10.48,0,17787244
3824,4,1,22,11.28,0,17668371
3046,3,3,23,15.66,0,14141846
1253,4,3,24,28.29,0,6424065
2582,5,1,5,26.41,1,12963523
3274,5,1,27,3.97,1,15514592
3396,3,3,20,12.39,0,16269225
589,5,3,21,17.05,2,4200364
1275,2,1,10,15.59,0,6081959
3152,3,1,17,6.62,1,14979643
3517,2,1,3,25.91,2,16720085
2125,1,2,2,20.63,1,10075311
3569,2,3,12,25.3,1,16916057
917,1,2,22,25.9,2,4223756
614,1,3,8,22.7,0,3069200
1116,2,3,20,13.74,0,5642149
3767,3,3,5,18.71,0,18283712
1325,5,3,25,5.65,0,7108000
2149,5,3,29,20.54,2,10597879
2016,1,3,27,6.2,2,9240895
3646,1,3,11,21.12,2,16977350
912,3,2,1,7.66,1,5622779
3947,4,1,2,4.41,2,19347169
3991,2,1,2,5.79,0,18582478
1228,1,2,27,1.06,1,5597653
3848,5,2,11,21.84,0,18499877
3568,3,2,14,22.24,0,16935410
3308,2,2,8,15.93,2,15996091
1175,3,3,30,5.68,2,6322955
3965,2,1,22,3.42,0,17999345
2392,2,3,7,1.55,0,12063388
3004,1,1,10,5.81,1,13476038
3467,3,1,15,26.83,2,16277130
2739,3,2,25,8.0,1,13153224
3286,5,3,26,11.27,1,15953694
1622,5,2,24,4.06,1,8661657
2071,1,3,21,7.45,0,9346769
1477,1,1,3,16.06,1,7050033
1508,4,2,27,18.62,1,7619962
2643,5,2,0,8.12,0,13968913
2187,2,1,23,2.67,2,10260136
3210,3,1,6,12.34,2,15821041
3761,1,1,1,7.79,1,17798275
536,3,2,23,7.37,0,2943545
3940,3,3,27,28.84,2,18152493
2048,4,2,4,18.87,1,10544746
2826,5,3,6,17.15,1,14258056
2764,1,2,3,13.06,0,13495971
3414,3,2,4,13.44,1,16522194
1372,1,1,23,16.69,2,5957110
2321,2,3,0,21.2,0,11178163
1796,4,2,0,21.36,2,9055808
2609,2,2,14,5.98,2,12866274
1095,1,1,19,15.5,2,5280902
2403,1,1,18,12.95,1,11252760
1228,5,3,28,26.25,1,6373740
1865,3,2,9,19.31,2,9420802
896,3,3,27,16.44,2,4621269
1198,2,2,17,4.35,0,5964861
3590,4,3,27,18.56,0,17158748
2724,3,1,2,4.4,1,13623371
2135,5,2,10,10.78,1,11346418
895,2,3,14,5.14,0,4864198
2992,2,1,30,21.07,2,13702812
3804,5,1,26,6.98,1,17622215
575,4,3,29,12.36,2,3260169
764,5,2,10,26.97,0,4753528
3002,4,2,16,6.93,1,15208053
2319,5,1,16,15.73,1,11534625
1217,5,2,5,13.16,0,6937707
3282,1,2,4,1.53,1,16058566
3955,2,2,7,23.99,0,18513625
1350,5,1,1,3.0,1,8332553
1890,5,3,15,14.75,0,9652412
643,3,2,19,17.26,1,3896217
1384,2,1,23,19.22,2,6031486
3640,3,1,11,20.97,2,17133557
3670,2,3,5,8.34,2,18016396
895,3,2,0,1.29,1,5758203
3596,5,2,30,21.98,1,17167548
3495,5,3,3,16.53,2,17325235
3438,1,3,16,25.25,2,15931252
1992,3,1,12,24.82,0,9777511
3722,4,1,17,25.46,0,17339624
1667,1,3,4,15.07,0,8064515
3116,3,2,29,10.68,2,14855277
1562,3,1,23,23.96,2,7212722
2656,1,1,23,14.09,2,11789119
1565,5,2,26,6.32,0,7878566
1709,3,1,2,25.79,1,8585029
3482,5,2,10,26.59,2,17142965
2945,1,2,12,14.52,1,13434825
3794,5,2,3,3.2,1,18848089
1133,2,3,25,12.25,1,5444879
1656,4,3,26,24.3,0,7857253
3734,3,3,13,27.15,1,17704190
1738,4,2,21,6.9,2,9098305
1232,5,2,10,2.94,0,7301168
734,3,3,26,26.44,2,3910533
3205,5,1,9,12.29,2,16409448
1250,2,2,18,16.71,0,6126721
3135,1,1,17,29.07,2,14257091
